NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4278308,37,11-12,2-3,2-2,5,8,13,0,0,0,3,4,26
4396642,34,3-7,0-0,0-0,3,8,11,1,1,1,1,3,6
4278306,41,3-16,1-8,5-6,1,2,3,6,1,1,4,4,12
4278307,32,5-13,3-11,0-1,2,1,3,2,0,0,0,2,13
3922039,38,11-17,7-8,6-8,1,2,3,8,4,1,5,4,35
4278083,8,0-0,0-0,2-2,1,0,1,0,1,0,1,2,2
4396649,9,1-2,0-0,0-0,0,4,4,0,0,0,0,2,2
3136177,15,0-5,0-4,0-0,0,0,0,0,1,0,0,2,0
4396641,11,0-1,0-0,0-0,0,2,2,0,0,0,1,2,0
3133915,42,4-7,0-2,6-7,0,4,4,2,0,1,4,2,14
4278559,34,3-8,0-0,2-2,2,2,4,2,1,0,0,2,8
4278562,43,11-14,1-2,5-8,7,9,16,2,3,3,2,3,28
4065778,45,11-26,6-14,4-4,1,2,3,2,0,0,2,3,32
3922031,13,1-4,0-2,0-0,0,1,1,2,0,0,2,0,2
4293886,20,4-6,0-1,1-2,0,3,3,0,0,0,0,0,9
3947244,28,2-7,0-1,3-4,1,0,1,7,0,0,2,4,7
