NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4288214,25,0-1,0-0,1-4,1,3,4,1,0,1,2,0,1
4288205,23,1-8,0-1,2-2,2,7,9,1,0,0,2,1,4
4288203,16,2-6,1-5,0-0,1,0,1,1,2,0,1,3,5
4288215,32,2-10,2-6,2-2,0,4,4,6,0,0,3,3,8
4288213,36,7-9,5-5,0-0,0,1,1,4,0,0,1,2,19
4405897,23,7-15,3-5,0-0,2,2,4,0,1,0,1,2,17
4405898,12,0-2,0-0,0-0,2,1,3,0,2,0,1,1,0
4288210,10,1-2,0-0,0-1,1,1,2,0,0,0,0,4,2
4288206,23,5-8,4-5,0-0,1,2,3,2,1,0,5,2,14
3130572,37,5-8,0-0,3-5,4,6,10,2,1,2,2,3,13
4066691,29,6-9,4-5,0-0,2,5,7,1,0,1,0,1,16
3149019,30,2-6,1-4,2-2,0,2,2,2,1,0,0,2,7
4395879,16,3-8,1-5,1-2,0,3,3,0,1,1,0,0,8
4395880,33,5-12,1-3,6-6,1,4,5,5,1,1,5,0,17
4395882,5,0-2,0-2,0-0,1,1,2,1,0,1,1,1,0
4395883,4,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
4278208,13,3-9,0-2,0-0,1,0,1,0,0,1,1,4,6
3904609,18,4-5,3-4,1-1,0,1,1,2,1,0,1,0,12
3904610,15,4-5,2-3,0-0,1,2,3,0,0,0,1,1,10
