NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4066805,27,8-13,0-0,1-1,2,1,3,0,1,1,0,4,17
4279466,28,5-8,2-4,4-4,2,7,9,2,0,1,0,3,16
4279467,31,3-13,2-6,1-3,1,3,4,11,2,0,3,1,9
4279470,11,0-2,0-2,0-0,1,0,1,1,0,0,0,0,0
4066807,35,3-10,2-7,0-0,1,5,6,4,2,0,0,3,8
4397926,13,2-2,0-0,1-1,1,0,1,0,1,0,1,1,5
4397927,14,1-4,0-2,0-0,1,0,1,2,0,0,1,1,2
3948604,12,0-2,0-1,0-0,0,2,2,0,0,0,0,2,0
3948606,29,6-14,4-10,0-0,1,1,2,1,1,0,1,3,16
4277832,28,0-0,0-0,1-2,4,5,9,2,0,0,2,0,1
4395617,18,3-6,0-1,2-3,1,3,4,1,1,0,1,1,8
4395618,27,2-9,0-4,1-4,1,1,2,0,1,0,1,3,5
4395619,38,8-13,3-6,0-1,0,3,3,3,0,0,0,2,19
4065635,40,8-12,5-9,3-4,2,8,10,5,0,1,5,1,24
4277830,15,1-7,0-4,0-0,1,1,2,1,2,0,1,1,2
4277831,1,0-0,0-0,0-0,0,0,0,0,0,0,0,2,0
4065637,30,7-10,0-0,8-10,5,9,14,0,0,1,0,1,22
3943609,3,0-0,0-0,1-2,0,0,0,0,0,0,0,0,1
