NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
3948816,26,8-16,1-2,2-2,4,7,11,2,0,2,0,4,19
4407940,39,9-19,2-7,4-4,2,4,6,3,1,0,2,4,24
4407943,19,2-6,0-0,3-4,0,3,3,1,0,0,2,4,7
4407941,25,1-2,0-0,0-0,0,3,3,2,0,0,2,4,2
4407937,37,3-5,2-4,0-0,0,2,2,4,0,0,2,1,8
3947672,19,6-8,6-8,0-0,1,2,3,1,1,0,1,4,18
4409378,33,2-12,1-7,2-4,2,4,6,4,1,0,3,4,7
4407938,2,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0
3947237,15,4-4,0-0,0-3,0,2,2,1,0,2,0,2,8
4067127,28,2-10,1-3,3-4,5,7,12,2,3,4,2,3,8
4067124,20,2-3,0-1,1-3,0,1,1,2,2,0,1,2,5
4396689,25,9-12,6-8,1-2,1,1,2,1,0,0,3,0,25
3155750,27,2-5,1-2,9-9,0,1,1,3,0,0,2,3,14
4278389,13,0-1,0-0,0-2,1,1,2,1,0,1,2,2,0
3136495,4,1-1,0-0,2-4,0,0,0,0,1,1,1,0,4
4066777,8,0-1,0-0,0-0,0,2,2,1,0,0,2,1,0
4066952,28,2-3,0-1,4-8,1,5,6,4,0,0,1,2,8
3132057,9,1-5,1-3,0-0,1,1,2,0,0,0,0,1,3
4396688,23,5-10,2-6,0-0,0,3,3,4,0,0,1,0,12
