NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4280289,20,5-6,0-0,1-6,1,2,3,1,1,2,1,4,11
4397557,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
4397558,26,6-11,1-1,1-5,2,1,3,3,1,0,1,5,14
3908819,38,7-12,4-7,11-15,0,4,4,4,1,0,1,1,29
4280284,26,5-7,1-2,3-5,0,4,4,5,5,0,4,4,14
4397556,5,0-1,0-0,0-0,0,0,0,0,1,1,0,1,0
4397554,31,4-10,3-6,2-2,1,6,7,3,2,0,6,3,13
3949224,24,1-8,0-5,0-1,0,0,0,2,0,0,0,4,2
4067817,29,2-5,2-5,0-0,0,0,0,2,1,0,2,4,6
4278284,9,2-4,0-0,0-0,0,0,0,0,0,0,2,4,4
4278282,22,2-6,0-1,0-0,3,8,11,0,1,0,2,4,4
3907788,29,6-13,0-4,10-14,4,2,6,5,2,0,4,1,22
4396634,25,5-6,1-2,2-2,0,5,5,6,1,2,1,4,13
4396632,32,4-12,4-10,2-2,0,1,1,3,0,0,1,3,14
3912845,12,3-7,2-3,0-0,0,3,3,0,0,1,2,3,8
4278280,25,5-8,1-1,4-7,6,9,15,1,0,1,1,5,15
4278286,4,0-1,0-0,0-0,1,0,1,0,0,0,0,0,0
4278283,22,6-8,1-2,2-2,0,0,0,1,4,0,4,3,15
4396633,20,1-3,0-1,2-3,2,3,5,6,1,0,4,0,4
