NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
3141271,20,4-8,0-1,0-0,1,0,1,1,1,1,1,4,8
4398092,23,4-5,0-0,2-3,1,3,4,1,0,0,3,0,10
4279185,26,4-7,1-3,0-0,0,4,4,1,0,0,1,1,9
4279179,21,4-5,0-0,2-2,1,2,3,2,3,0,3,4,10
4279180,27,1-6,1-4,0-0,0,1,1,2,4,0,3,2,3
4398093,13,0-1,0-0,0-0,0,0,0,3,1,1,2,4,0
4398094,16,1-2,0-0,4-6,1,1,2,2,1,1,1,2,6
4279184,4,0-0,0-0,0-0,0,1,1,0,0,0,1,0,0
4398095,8,0-3,0-1,0-0,1,0,1,0,1,0,1,0,0
4279181,7,0-2,0-1,0-0,0,0,0,0,0,0,1,2,0
4279182,3,0-0,0-0,0-0,0,0,0,0,0,0,2,0,0
3154931,14,0-4,0-4,0-0,0,0,0,2,0,0,1,1,0
4067760,18,5-9,1-3,0-0,1,0,1,0,0,0,1,2,11
4278017,18,2-7,0-2,0-0,5,1,6,0,1,2,1,2,4
4278012,31,3-7,1-3,0-0,1,5,6,1,0,0,1,2,7
4395669,27,5-9,3-5,8-9,0,1,1,6,1,0,4,1,21
4395670,29,9-12,1-3,5-5,2,1,3,4,2,0,0,2,24
4395671,32,5-10,2-5,8-8,3,5,8,0,1,0,1,0,20
4278021,6,0-2,0-0,0-0,1,0,1,0,0,0,0,1,0
4278018,17,2-5,0-0,0-0,3,2,5,0,0,1,0,0,4
4409403,3,0-1,0-1,0-0,0,0,0,2,1,0,0,0,0
4278019,3,1-2,1-2,0-0,0,0,0,0,0,0,0,0,3
4278015,3,0-0,0-0,0-0,0,0,0,0,0,0,1,0,0
4278016,15,3-6,1-3,0-0,1,5,6,1,2,0,2,2,7
3938916,16,4-5,0-0,1-1,2,2,4,4,2,0,4,4,9
