NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4067682,14,0-1,0-0,1-4,1,1,2,0,1,3,2,3,1
4397904,29,5-14,0-4,2-4,1,6,7,0,1,1,0,2,12
4397902,36,3-6,0-1,1-4,2,2,4,1,3,1,2,1,7
4280061,25,3-9,0-0,2-2,3,4,7,2,1,1,7,4,8
4067679,32,1-4,1-4,0-0,0,0,0,3,1,0,5,1,3
3947702,13,0-1,0-1,0-0,0,1,1,0,0,0,0,1,0
4067680,6,0-0,0-0,0-0,0,0,0,0,0,0,0,2,0
3155568,18,1-7,1-5,1-2,0,1,1,0,0,0,1,2,4
3913170,27,3-6,0-0,3-6,3,2,5,0,1,2,4,2,9
4278308,21,6-10,0-0,4-6,9,2,11,0,0,0,1,2,16
4396642,11,1-3,0-0,3-4,2,1,3,0,1,0,2,3,5
4278306,26,0-6,0-3,2-3,0,5,5,1,3,1,2,2,2
4278307,18,6-8,4-4,0-0,1,3,4,1,2,0,1,0,16
3922039,27,3-7,1-3,1-2,0,2,2,6,4,0,0,1,8
4278083,13,5-9,0-2,0-1,1,3,4,2,0,0,1,2,10
4396649,24,5-8,0-0,1-2,3,3,6,2,1,0,2,1,11
3948790,11,1-3,0-1,0-0,0,2,2,1,0,0,1,3,2
4396643,21,2-6,1-5,0-0,1,2,3,4,0,1,1,2,5
4396644,6,1-4,0-3,0-0,1,1,2,1,0,0,0,2,2
4396645,4,0-1,0-0,0-0,0,1,1,0,0,0,2,0,0
4396641,18,2-4,2-3,0-0,2,1,3,3,0,0,1,0,6
