NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4396585,28,3-3,0-0,0-0,4,3,7,0,0,2,1,5,6
4396584,28,1-6,0-2,8-9,0,3,3,2,0,0,0,2,10
4278239,32,4-12,1-2,6-8,1,5,6,4,3,0,1,3,15
4278240,20,3-6,1-3,2-2,2,1,3,0,0,0,4,3,9
3913169,3,0-2,0-2,0-0,0,1,1,0,0,0,0,0,0
4278243,12,2-3,0-0,0-1,1,0,1,0,1,0,1,3,4
4396587,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
4396583,7,1-2,0-0,0-0,1,0,1,0,0,0,0,2,2
4066768,37,7-15,2-4,3-7,1,5,6,0,0,0,3,2,19
4278241,14,3-6,1-1,0-1,4,2,6,0,1,0,2,0,7
4278242,19,2-5,0-2,0-0,0,3,3,3,1,0,1,1,4
4066877,23,3-9,0-0,4-8,8,5,13,0,1,0,1,3,10
4279743,25,4-7,4-4,4-4,1,4,5,0,0,0,2,3,16
4398399,21,0-6,0-3,1-2,0,0,0,1,1,0,1,5,1
4279741,33,2-5,2-2,3-4,1,1,2,3,0,0,5,3,9
3947024,29,0-6,0-5,0-1,1,2,3,2,0,0,1,4,0
3947028,17,2-2,0-0,2-2,1,1,2,0,0,1,0,0,6
4070684,30,8-18,4-12,1-2,0,5,5,3,1,1,2,1,21
4066478,8,0-2,0-1,0-0,1,3,4,0,1,0,1,2,0
4398400,14,4-4,2-2,0-0,0,1,1,3,1,0,1,2,10
