NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4278229,12,1-1,0-0,0-0,1,2,3,0,1,0,0,2,2
4278230,32,2-4,0-1,0-0,0,0,0,0,0,0,0,3,4
3934622,33,3-13,0-3,2-3,1,3,4,5,2,0,6,4,8
4066441,26,5-10,2-3,2-3,0,0,0,3,1,0,3,4,14
4066443,31,7-11,4-7,0-0,0,5,5,0,1,0,3,4,18
3938920,19,1-1,0-0,0-0,0,2,2,0,0,2,1,1,2
4278231,2,0-0,0-0,0-2,1,1,2,0,0,0,0,0,0
4278233,20,1-6,0-1,2-3,2,2,4,1,0,3,1,0,4
4396612,3,0-0,0-0,1-2,0,1,1,1,0,0,0,1,1
3136501,21,2-8,1-3,0-1,0,0,0,1,0,0,2,2,5
4076548,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
3133817,36,7-12,4-7,3-4,1,5,6,5,2,1,4,3,21
4278586,23,2-3,0-0,1-1,3,3,6,2,3,0,2,4,5
4397136,28,2-7,0-3,1-2,0,5,5,2,1,0,2,2,5
3147656,35,6-6,2-2,4-5,1,6,7,7,1,0,5,2,18
3918721,31,4-5,3-3,0-0,0,3,3,0,1,0,3,2,11
3934674,1,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0
4278588,8,3-4,1-1,0-2,0,2,2,0,0,1,1,0,7
4397133,2,0-0,0-0,0-0,1,1,2,0,0,0,1,0,0
4397134,8,1-2,1-2,1-2,1,0,1,0,0,0,0,1,4
4397135,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
4397132,25,2-8,1-5,5-8,0,2,2,4,1,0,1,2,10
4278587,2,0-0,0-0,0-0,0,0,0,0,0,0,0,2,0
