NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4278202,16,2-2,0-0,0-0,1,4,5,0,2,0,2,5,4
4278204,33,5-6,0-1,1-1,2,6,8,1,0,0,3,4,11
4278203,37,4-9,3-8,2-2,0,5,5,0,0,0,4,1,13
4395873,31,3-5,2-3,0-0,0,2,2,2,0,1,2,1,8
4278199,37,8-19,3-8,8-9,0,5,5,5,0,0,3,3,27
4395878,10,1-1,0-0,1-3,0,0,0,0,0,0,0,2,3
4395874,2,1-1,0-0,0-0,0,1,1,0,0,0,0,0,2
4066683,24,0-7,0-1,0-0,2,5,7,1,0,2,0,2,0
4278581,10,0-3,0-2,0-0,0,1,1,0,0,0,1,0,0
4279429,15,2-3,0-0,0-0,1,2,3,1,0,0,0,1,4
4397845,26,3-7,0-1,1-2,1,1,2,1,3,3,2,3,7
3906509,26,4-7,1-2,0-0,1,4,5,2,2,1,0,1,9
3913228,38,0-8,0-6,1-2,1,0,1,5,0,0,0,1,1
4067386,23,2-6,1-3,0-0,0,2,2,1,1,0,2,1,5
4279428,6,1-1,0-0,2-4,1,1,2,0,0,0,0,1,4
3923564,22,4-6,0-0,6-6,1,7,8,0,0,1,2,4,14
3913230,32,8-19,4-8,6-6,0,3,3,1,3,0,0,1,26
4397847,12,0-3,0-2,0-0,0,1,1,1,1,0,0,2,0
