NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
3941313,25,2-3,0-0,4-5,2,3,5,1,1,0,1,3,8
4066695,38,5-10,1-4,0-2,1,4,5,2,0,0,3,2,11
4395896,31,2-7,2-3,0-0,0,4,4,0,1,0,0,4,6
4067724,35,4-9,0-3,2-2,2,4,6,5,0,0,2,4,10
3913240,36,4-9,2-7,1-2,0,1,1,1,3,1,1,2,11
3941316,10,0-1,0-0,0-0,0,1,1,1,0,0,2,1,0
4395897,17,1-3,1-3,0-3,1,2,3,1,0,0,2,1,3
4278222,4,1-1,1-1,0-0,0,0,0,0,0,0,0,1,3
3941310,4,1-3,0-1,1-1,0,0,0,0,1,0,0,1,3
4066410,34,7-12,0-0,3-6,3,2,5,1,0,0,2,1,17
3149899,11,0-1,0-0,1-2,1,1,2,0,0,0,0,1,1
4070686,16,2-6,1-4,0-2,3,1,4,1,0,0,1,1,5
4277986,35,3-11,3-9,0-0,0,1,1,9,3,0,3,2,9
4397250,19,2-6,0-3,3-4,2,2,4,3,1,0,0,1,7
4066412,10,0-2,0-2,0-0,1,0,1,0,1,1,0,0,0
4397248,12,1-1,0-0,0-0,0,5,5,0,0,0,0,2,2
4397251,17,1-5,1-5,2-2,1,1,2,2,0,0,0,3,5
4277987,21,4-4,0-0,2-2,6,4,10,1,0,0,2,3,10
4397249,24,3-8,3-7,5-6,0,4,4,3,2,0,1,4,14
4073455,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
