NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
3936028,31,2-8,1-2,2-2,3,3,6,0,2,1,0,1,7
4067328,11,0-0,0-0,0-0,0,3,3,2,0,0,1,2,0
3936030,30,8-11,0-1,0-0,0,3,3,3,1,0,3,0,16
4398410,24,1-6,1-2,0-0,0,2,2,1,2,0,3,2,3
3936027,24,3-6,3-5,0-0,0,3,3,0,1,0,1,0,9
4398414,10,0-1,0-1,0-0,0,0,0,0,0,2,1,1,0
3923222,17,3-5,2-3,0-0,1,2,3,1,0,2,2,4,8
3936026,25,2-11,2-10,1-2,1,1,2,1,2,0,2,1,7
4279709,18,3-5,0-0,0-0,0,2,2,1,2,1,2,3,6
4398413,10,0-1,0-0,0-0,0,2,2,0,0,0,0,0,0
3130746,31,5-12,1-3,0-0,2,1,3,1,1,1,2,1,11
3917980,35,3-9,0-0,8-12,2,8,10,3,2,1,2,0,14
3917978,39,4-9,4-8,0-0,0,2,2,3,0,1,3,1,12
3917979,38,7-12,3-6,0-0,2,9,11,1,3,1,3,2,17
4278214,29,1-4,1-3,0-0,0,2,2,1,3,1,3,1,3
3130743,12,2-3,1-2,0-0,1,1,2,0,1,1,0,0,5
4395888,16,1-3,1-3,0-0,0,1,1,0,1,1,1,2,3
