NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
3904749,38,7-9,4-5,4-4,0,5,5,4,0,0,1,4,22
4066773,20,1-5,0-3,0-0,0,2,2,1,0,0,2,3,2
4396589,32,3-8,1-5,1-3,0,5,5,5,4,0,5,1,8
4396591,31,5-10,0-4,2-2,0,2,2,1,1,0,1,4,12
3913216,29,5-7,4-6,0-0,0,5,5,1,0,0,0,2,14
3904748,17,0-0,0-0,0-0,1,4,5,2,0,1,0,3,0
4279162,18,2-10,1-5,1-1,0,2,2,0,1,0,1,1,6
4396592,15,2-4,1-3,2-2,0,1,1,2,1,0,0,2,7
4279766,33,3-5,1-1,2-3,3,2,5,1,0,0,3,2,9
4279768,25,1-2,0-1,2-4,2,3,5,0,1,0,3,1,4
4279771,22,3-9,1-6,2-3,0,6,6,0,1,0,1,5,9
4279767,33,1-4,0-2,6-8,1,2,3,0,1,0,0,0,8
4067878,33,3-11,2-7,0-0,0,3,3,3,0,0,2,2,8
4398109,10,2-4,1-2,1-2,1,1,2,1,0,0,1,2,6
3947465,23,2-8,2-6,0-0,1,6,7,1,2,0,2,1,6
4398112,21,3-6,0-2,4-9,3,1,4,1,0,1,3,3,10
