NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4278259,27,4-9,1-5,0-0,1,2,3,0,1,0,2,0,9
4278260,19,5-6,0-0,0-0,4,4,8,0,1,1,3,3,10
3907780,36,1-4,1-3,0-0,1,4,5,9,0,0,2,1,3
4066450,33,8-18,7-13,0-1,1,7,8,0,0,1,0,2,23
4278257,39,5-14,3-9,1-1,0,7,7,3,1,0,3,1,14
4278263,7,1-5,0-1,0-0,1,1,2,0,2,1,2,4,2
4066799,19,1-1,0-0,0-0,1,3,4,2,0,2,2,2,2
4396629,20,0-4,0-3,0-0,0,1,1,0,3,0,0,0,0
4066315,33,2-10,0-4,3-4,1,8,9,3,1,1,1,1,7
4397046,19,3-4,0-0,0-3,2,0,2,1,1,2,2,3,6
4397045,28,6-9,1-1,3-3,0,4,4,4,2,0,1,1,16
4066317,38,2-10,2-6,0-0,2,1,3,4,2,0,1,2,6
4066314,34,5-12,3-7,0-0,0,6,6,1,0,0,1,1,13
4397043,4,0-2,0-1,0-0,1,1,2,0,0,0,0,0,0
4397044,11,0-1,0-0,0-0,0,1,1,0,0,0,1,0,0
4067391,17,2-6,1-2,0-0,0,2,2,1,4,0,4,0,5
3155700,16,0-3,0-1,0-0,0,1,1,3,1,0,1,1,0
