NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4278017,24,1-3,1-2,1-2,0,2,2,1,1,2,1,4,4
3938916,17,1-3,0-1,0-0,1,5,6,1,0,0,3,3,2
4395669,33,5-11,1-3,10-11,6,0,6,2,2,0,8,4,21
4395670,39,5-16,2-5,6-7,1,3,4,1,7,0,2,1,18
4395671,16,2-6,0-3,2-3,0,0,0,0,2,0,1,4,6
4278018,16,0-1,0-0,0-0,3,1,4,0,0,2,2,5,0
4278022,1,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0
4067470,19,1-5,0-1,0-0,1,3,4,2,1,1,3,1,2
4278012,33,2-9,2-8,0-0,1,4,5,0,1,0,4,2,6
4278016,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
3947256,11,2-4,0-0,0-0,2,3,5,0,0,1,0,1,4
3947257,35,4-9,0-2,5-5,4,3,7,2,2,1,7,2,13
4277933,29,2-4,1-3,1-3,1,5,6,2,1,2,3,3,6
3913554,30,4-11,3-8,7-8,3,3,6,4,1,0,4,4,18
4066331,26,1-4,1-2,1-2,0,0,0,0,1,0,3,1,4
4066333,27,6-15,0-2,4-4,2,7,9,0,0,7,1,3,16
3913555,11,0-3,0-2,2-2,1,0,1,1,0,1,2,3,2
4397096,1,0-0,0-0,0-0,1,0,1,0,0,0,2,2,0
4397099,5,1-1,0-0,0-0,1,0,1,0,0,0,0,0,2
4397097,17,0-1,0-1,0-0,0,2,2,2,1,0,3,4,0
4277935,8,2-3,0-1,0-0,0,2,2,0,0,0,1,0,4
