NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
3133922,23,2-2,0-0,0-0,1,1,2,0,1,0,1,5,4
4277835,32,1-5,0-2,0-0,3,6,9,1,0,0,4,1,2
3947075,21,6-12,0-0,3-5,2,5,7,2,1,1,5,4,15
3133969,39,5-18,3-5,0-0,3,9,12,2,2,0,2,2,13
3136699,35,4-13,2-5,2-2,0,2,2,1,1,0,0,0,12
3913224,3,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0
4395620,0,0-0,0-0,0-0,0,0,0,0,0,0,1,0,0
4395623,12,0-2,0-0,0-0,0,1,1,0,0,1,1,3,0
4395622,10,1-2,0-0,0-0,1,1,2,0,0,0,0,1,2
4277833,25,3-3,1-1,0-0,0,4,4,2,0,0,3,0,7
3913239,34,2-9,0-2,0-0,0,2,2,0,0,0,1,1,4
4277883,31,4-13,0-5,3-3,1,3,4,0,3,2,6,4,11
4277880,18,1-4,0-1,2-2,0,7,7,0,0,1,0,2,4
3133847,18,1-3,0-1,0-0,1,0,1,0,0,0,0,0,2
3137221,38,6-11,2-3,4-5,0,2,2,5,2,0,2,1,18
4065666,2,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0
3934623,22,1-7,1-2,3-4,1,7,8,0,0,0,0,3,6
4277878,16,3-4,2-3,0-0,0,2,2,0,0,0,1,1,8
3908808,21,1-3,1-2,0-0,0,1,1,3,0,0,2,0,3
