NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
3147688,24,4-10,3-9,1-1,1,3,4,2,0,1,1,4,12
3907524,27,2-8,0-1,0-0,1,1,2,3,1,0,3,2,4
4065834,35,3-11,0-2,5-5,0,3,3,4,4,0,5,0,11
4397125,36,7-18,0-7,0-0,3,5,8,2,2,0,3,0,14
4066250,34,4-14,1-5,1-2,1,2,3,0,2,0,1,4,10
4066223,20,2-5,0-0,2-2,2,2,4,1,1,0,0,4,6
4397123,10,0-0,0-0,1-2,2,0,2,0,0,0,1,1,1
4278583,14,1-2,1-2,0-0,0,0,0,0,0,0,1,2,3
4395625,33,6-15,0-5,3-8,2,12,14,4,2,1,3,0,15
4395627,32,4-10,4-10,4-4,1,2,3,3,1,0,2,2,16
4395628,33,13-17,1-3,2-4,3,3,6,0,5,2,3,2,29
4065652,25,4-6,0-2,2-3,1,5,6,1,1,1,1,1,10
4395626,36,5-9,1-2,2-2,2,5,7,7,3,0,5,3,13
3913178,2,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0
4065650,13,2-2,0-0,1-2,3,2,5,0,0,0,0,3,5
4065653,9,0-1,0-1,0-0,1,3,4,0,0,1,1,1,0
3913177,2,0-0,0-0,0-0,0,0,0,0,0,1,0,0,0
4277845,4,1-2,1-2,0-0,0,0,0,0,0,0,2,0,3
4277846,11,0-1,0-1,0-0,1,1,2,0,0,0,1,0,0
