NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4278202,14,0-1,0-0,1-2,0,0,0,0,1,0,2,1,1
4278204,7,1-1,1-1,0-0,0,0,0,0,0,1,0,5,3
4395874,21,0-2,0-0,0-0,0,1,1,3,0,3,2,2,0
4395873,34,6-12,4-10,2-3,0,5,5,3,1,0,2,2,18
4278203,37,6-15,5-11,7-9,0,5,5,2,2,0,4,0,24
4066683,27,0-1,0-0,3-6,2,5,7,0,0,0,2,4,3
4066754,7,1-1,0-0,0-0,2,1,3,1,0,0,0,2,2
4395878,25,6-8,0-0,5-5,3,6,9,0,1,0,0,4,17
3961485,1,0-0,0-0,0-0,0,0,0,0,0,0,1,0,0
4278199,27,2-12,1-5,1-2,1,5,6,2,1,3,3,2,6
4396585,9,1-2,0-0,2-2,3,0,3,0,0,2,1,3,4
3913169,37,9-14,3-5,1-3,3,9,12,1,2,0,1,3,22
4278239,32,2-12,0-4,2-2,1,3,4,4,0,0,1,3,6
4278240,36,4-12,0-4,1-2,3,5,8,3,2,0,2,3,9
4396584,29,3-12,1-6,2-3,0,0,0,1,1,0,1,3,9
4278243,7,0-0,0-0,0-0,0,1,1,1,0,0,1,0,0
4396587,3,0-1,0-0,0-0,0,0,0,0,0,0,1,1,0
4396583,15,1-4,0-1,1-2,1,1,2,1,0,0,3,2,3
4066768,24,5-7,0-1,4-10,1,2,3,1,1,0,0,3,14
4278242,8,1-1,1-1,0-0,0,1,1,0,0,0,0,1,3
