NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
3130746,23,3-6,1-1,3-4,0,5,5,1,1,0,0,1,10
3917980,25,6-10,0-1,1-5,3,7,10,0,0,1,3,2,13
3917978,35,3-10,2-6,0-0,1,8,9,3,1,0,1,1,8
3917979,34,7-11,4-4,0-1,0,4,4,4,0,0,1,2,18
4278214,32,4-7,1-4,2-2,0,2,2,1,2,0,1,3,11
4395886,2,0-0,0-0,0-0,0,0,0,0,0,0,0,2,0
4066693,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
4395890,14,1-3,1-2,0-0,0,3,3,0,0,1,2,3,3
4395892,3,2-2,1-1,0-0,0,0,0,0,1,0,0,0,5
4395893,7,0-3,0-1,0-0,0,0,0,0,0,1,0,0,0
3130743,19,1-3,0-1,0-0,0,1,1,2,1,0,0,1,2
4395888,3,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0
4395889,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
4066728,27,1-4,0-3,0-0,4,2,6,2,0,0,1,2,2
4396578,33,7-13,5-6,2-2,5,11,16,1,3,0,2,1,21
4278238,31,2-9,0-3,3-5,1,4,5,1,0,0,0,0,7
4396576,18,2-5,0-2,0-0,0,2,2,0,0,0,2,1,4
3132469,39,2-11,0-3,4-5,0,3,3,3,0,0,2,3,8
3922029,18,2-8,0-3,1-2,1,0,1,1,0,0,1,0,5
4396577,13,0-3,0-2,0-0,1,1,2,1,0,0,1,2,0
4396579,3,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0
4066743,13,1-3,1-3,0-0,0,3,3,1,0,1,2,1,3
4278237,5,0-1,0-0,0-0,0,0,0,0,0,0,1,0,0
