NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
3934620,21,2-8,0-2,0-0,4,6,10,2,0,0,2,0,4
4066485,31,3-12,0-0,2-2,6,6,12,0,0,3,1,0,8
4278217,29,2-11,0-4,4-4,2,3,5,2,1,1,0,2,8
4066486,35,4-13,0-4,4-5,2,5,7,4,0,0,2,4,12
3934619,25,2-8,2-6,0-0,0,2,2,1,1,0,0,1,6
4278219,5,0-0,0-0,0-0,0,1,1,0,1,0,0,0,0
4278220,4,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
4278218,11,1-4,1-3,0-0,0,1,1,0,0,0,0,0,3
4396608,1,0-0,0-0,0-0,0,0,0,0,0,0,2,1,0
4396609,15,2-3,0-0,2-2,1,3,4,0,0,0,0,2,6
3153183,23,1-5,1-2,2-2,0,1,1,1,0,0,0,1,5
4066494,33,3-11,0-5,1-2,3,4,7,1,0,3,3,4,7
4278297,33,0-4,0-3,0-0,1,3,4,1,0,1,0,4,0
4396638,33,3-6,0-0,0-0,2,6,8,3,1,4,1,3,6
3936293,31,3-9,0-0,0-0,0,9,9,2,1,1,2,2,6
3907804,38,10-22,6-14,1-1,0,2,2,1,0,1,2,1,27
4396640,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
4396639,6,0-1,0-0,0-0,0,0,0,0,0,0,1,1,0
4067251,25,1-4,1-2,0-0,1,2,3,2,0,0,0,0,3
