NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4278229,31,3-6,0-0,4-4,1,4,5,2,0,3,1,3,10
4278230,26,2-6,2-4,0-0,1,2,3,0,0,0,0,1,6
3136501,33,4-6,0-0,0-1,0,5,5,5,0,0,4,4,8
4066441,33,6-16,4-8,2-2,0,3,3,4,0,0,3,2,18
4278233,23,2-6,1-1,0-0,0,3,3,0,0,0,0,1,5
3923248,9,0-2,0-0,0-0,2,1,3,0,0,0,0,1,0
4396612,21,3-5,3-5,0-0,0,3,3,0,0,0,1,0,9
4066443,24,2-8,1-6,2-2,0,4,4,2,1,0,0,3,7
3914047,38,5-17,2-7,7-7,0,5,5,2,1,0,2,1,19
4396682,18,2-6,0-2,3-3,1,1,2,0,0,2,2,4,7
4278482,36,7-16,4-9,2-2,1,2,3,1,0,0,2,0,20
4396676,32,1-7,1-4,1-2,3,7,10,1,0,1,0,2,4
4396677,31,4-11,1-3,2-3,1,7,8,5,0,0,1,0,11
4396685,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
4278483,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
4278485,21,2-4,0-0,0-0,4,1,5,0,0,4,1,2,4
4396678,5,0-0,0-0,0-0,0,0,0,1,0,0,0,1,0
4396679,16,0-1,0-1,0-0,0,4,4,1,1,0,0,1,0
