NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4278497,23,3-7,0-0,0-1,0,4,4,1,1,1,0,4,6
3911841,28,5-10,0-2,6-7,0,2,2,0,0,0,2,2,16
4066873,28,1-4,0-1,0-0,0,3,3,1,1,0,0,1,2
4278493,32,2-6,0-3,0-0,0,2,2,8,1,0,1,3,4
4278495,36,8-15,6-8,1-1,0,2,2,1,0,0,2,1,23
4396837,21,3-5,0-0,2-2,0,3,3,1,0,0,2,1,8
4066970,1,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0
4066874,9,0-0,0-0,0-0,0,0,0,0,0,0,2,1,0
3913163,15,2-3,0-1,0-0,0,0,0,0,1,0,1,0,4
4396836,7,0-0,0-0,0-0,0,0,0,0,0,0,1,1,0
4278380,25,4-7,0-0,1-1,0,3,3,3,1,0,1,3,9
4066836,25,6-10,1-1,4-4,0,5,5,2,2,0,4,2,17
4278378,33,7-12,3-7,0-0,0,1,1,5,4,0,0,0,17
4397191,34,4-8,4-7,0-0,1,4,5,2,0,1,1,0,12
4397193,25,4-4,0-0,0-0,1,2,3,1,1,0,1,1,8
4397192,15,1-1,0-0,0-0,0,1,1,1,0,1,0,1,2
4072624,13,1-3,1-3,0-0,0,3,3,2,0,0,0,0,3
4397190,11,2-4,1-2,5-8,1,4,5,1,0,0,1,2,10
4278383,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
4278384,1,1-1,0-0,0-1,1,0,1,0,0,0,0,0,2
3908871,17,3-3,3-3,0-0,1,2,3,0,0,0,1,1,9
