NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
3906811,5,0-0,0-0,0-0,0,2,2,0,0,0,1,3,0
3946973,31,6-11,4-5,5-6,4,3,7,2,1,1,2,3,21
4065699,34,3-8,3-6,1-2,0,1,1,8,2,0,2,2,10
3132359,28,5-10,2-2,1-7,4,4,8,2,0,1,3,0,13
4278007,32,6-13,5-9,0-0,1,1,2,1,1,0,0,0,17
4066401,29,3-9,0-2,6-6,4,1,5,0,2,2,0,2,12
4395661,14,2-4,0-1,0-0,2,1,3,2,0,0,1,2,4
4066428,13,0-5,0-2,0-0,0,2,2,1,0,0,0,1,0
3133822,14,1-4,0-0,0-0,3,1,4,1,1,0,1,3,2
4278018,31,5-9,2-3,0-0,2,4,6,0,0,5,1,3,12
4067470,33,4-11,0-3,4-5,1,4,5,6,1,0,2,1,12
4278012,37,6-7,4-5,0-0,1,4,5,0,1,1,2,2,16
4395669,25,5-12,1-3,6-7,4,1,5,2,1,0,1,4,17
4395670,17,3-8,1-2,4-5,0,3,3,1,0,0,5,4,11
4278017,9,1-1,0-0,0-0,0,1,1,0,0,1,2,3,2
4278016,18,0-3,0-2,0-0,0,2,2,1,2,1,1,0,0
4395671,30,2-4,0-1,2-2,3,4,7,1,1,0,1,3,6
