NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
3941317,22,1-7,0-2,2-2,0,1,1,0,1,0,4,3,4
4278418,18,1-5,1-3,0-0,1,0,1,0,1,0,1,2,3
4278420,19,2-2,0-0,1-4,2,4,6,0,0,1,2,3,5
3920203,32,6-13,1-7,3-5,0,7,7,2,1,0,0,4,16
4066500,31,3-10,2-7,2-2,0,4,4,1,0,1,2,1,10
3138208,4,1-1,0-0,0-0,0,0,0,0,0,0,0,1,2
4397226,17,2-2,0-0,2-2,1,0,1,0,1,1,1,2,6
4397227,22,1-5,0-2,5-5,0,6,6,1,1,1,2,1,7
4397229,8,1-2,0-0,0-0,0,1,1,2,0,0,1,1,2
4066501,12,0-2,0-2,0-0,1,3,4,0,0,0,0,0,0
4278417,15,1-2,0-1,0-0,0,1,1,0,0,0,0,1,2
4396787,31,6-15,0-1,2-2,3,4,7,5,0,1,2,1,14
3904645,29,2-6,2-5,0-0,0,3,3,0,1,0,2,3,6
4070687,29,2-8,0-0,0-2,0,4,4,1,1,0,3,2,4
4278349,37,7-10,3-4,4-5,0,6,6,3,0,0,1,2,21
4278350,33,2-10,2-9,2-2,0,2,2,0,1,0,1,2,8
3904644,3,0-2,0-1,0-0,0,1,1,0,0,0,0,2,0
4278348,5,0-0,0-0,4-4,1,0,1,0,0,0,0,0,4
4396788,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
4278347,30,2-4,0-0,3-4,2,3,5,2,0,0,0,3,7
