NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
3908374,19,3-7,0-0,2-2,3,4,7,2,0,0,1,3,8
3908867,33,3-10,2-5,6-6,0,3,3,7,0,0,3,3,14
4066862,19,2-5,0-2,0-1,0,1,1,0,2,0,0,2,4
4066863,34,8-10,1-1,2-2,1,9,10,1,0,0,3,1,19
4278360,29,4-8,2-4,5-5,0,2,2,2,0,0,2,3,15
4278362,18,1-5,0-0,0-0,0,2,2,0,0,0,1,0,2
4278358,7,1-1,0-0,0-0,2,2,4,0,0,0,1,2,2
4396817,6,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
4396818,23,6-8,0-1,2-2,1,0,1,0,2,2,0,1,14
4396819,12,2-4,2-4,0-0,0,1,1,0,0,0,3,1,6
4066785,36,5-10,0-0,5-10,6,8,14,2,1,3,1,1,15
4397178,10,2-2,0-0,0-0,1,1,2,1,0,0,2,3,4
4278371,35,5-16,0-7,1-2,1,1,2,1,1,1,4,4,11
4066786,38,6-15,0-5,3-3,1,0,1,4,2,0,0,2,15
3924873,24,0-5,0-5,0-0,1,2,3,0,2,0,2,2,0
4278372,3,1-1,0-0,0-0,1,0,1,0,0,0,0,1,2
4397180,12,0-2,0-1,0-0,1,2,3,0,1,0,0,1,0
4397181,11,3-3,3-3,1-2,0,0,0,3,0,0,1,0,10
4397179,31,5-11,0-4,0-0,3,2,5,2,0,2,1,3,10
