NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
3906811,16,1-1,0-0,1-1,2,3,5,0,0,1,1,3,3
3946973,36,7-17,2-6,1-2,2,2,4,3,1,0,1,1,17
3132359,31,8-16,0-4,2-3,3,5,8,1,1,1,0,3,18
4066428,26,3-10,1-3,0-0,1,7,8,2,0,0,3,2,7
4278007,36,3-11,3-10,0-0,0,1,1,3,1,0,2,4,9
4066401,21,2-5,0-2,0-0,2,2,4,1,3,2,0,3,4
4395661,6,0-3,0-1,2-2,2,0,2,0,0,0,0,4,2
4278106,3,0-0,0-0,0-0,0,0,0,0,0,0,1,0,0
3133822,25,3-10,0-3,1-1,3,0,3,0,2,0,1,2,7
3136934,17,3-3,0-0,0-0,1,2,3,0,0,1,1,2,6
4395688,33,4-9,1-1,7-8,3,7,10,3,2,3,2,2,16
4065750,35,4-11,0-3,2-3,2,7,9,4,2,0,3,2,10
4395687,29,3-9,0-1,2-5,0,3,3,1,0,0,2,2,8
4278045,31,2-8,0-2,4-4,1,1,2,1,2,0,2,1,8
4395686,19,2-4,0-2,4-4,1,1,2,1,1,0,0,1,8
4278046,16,2-3,0-0,0-0,2,4,6,0,1,0,0,2,4
4395689,6,0-2,0-1,0-0,1,1,2,0,0,0,0,1,0
3155501,14,3-3,1-1,4-4,1,1,2,0,0,0,1,1,11
