NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
3130572,34,1-3,0-0,1-2,0,6,6,0,0,1,2,4,3
4066691,34,6-12,1-3,1-2,2,3,5,0,2,1,3,5,14
4395880,34,7-15,1-3,4-4,0,1,1,3,3,0,7,2,19
3149019,32,3-7,2-4,0-0,0,1,1,1,0,0,1,2,8
3904610,14,0-1,0-0,0-0,0,1,1,0,3,0,0,1,0
4395882,22,2-5,2-5,0-0,0,0,0,0,1,0,1,3,6
4395883,6,0-1,0-0,0-0,0,0,0,0,0,1,1,1,0
3904609,8,0-0,0-0,0-0,0,0,0,1,1,0,3,0,0
4395881,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
4395879,14,0-1,0-1,0-2,0,2,2,0,0,0,1,1,0
3156103,15,3-4,0-0,4-4,7,7,14,0,0,1,3,1,10
4066790,22,3-10,0-3,2-3,2,5,7,1,0,1,0,1,8
4278244,18,2-9,0-4,0-0,0,1,1,1,4,0,2,2,4
4396594,28,1-3,0-1,0-0,2,0,2,4,2,0,3,3,2
3130767,31,5-11,4-9,6-6,0,1,1,3,0,0,2,2,20
4396597,17,2-5,0-0,2-2,5,1,6,0,0,0,2,1,6
4396595,23,4-4,0-0,1-2,2,2,4,3,1,0,2,1,9
4278246,10,0-2,0-2,0-0,0,4,4,1,0,0,0,0,0
4278247,3,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0
3915081,21,5-8,3-6,0-0,2,3,5,1,1,0,2,0,13
4066789,12,2-4,0-0,2-3,0,1,1,0,2,0,0,4,6
