NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4066838,27,7-12,0-2,2-2,0,7,7,5,0,1,3,4,16
4397983,14,1-7,1-6,3-4,0,1,1,4,2,0,0,0,6
4066839,30,6-8,1-3,2-2,1,2,3,4,2,0,1,4,15
3155740,37,1-4,1-2,0-0,0,5,5,3,0,1,2,1,3
4397982,27,3-9,2-7,0-0,0,4,4,0,0,0,0,0,8
3906966,5,0-0,0-0,0-2,0,1,1,1,0,0,0,0,0
4279562,12,3-4,0-1,0-0,0,0,0,0,0,0,1,1,6
4066842,20,4-6,4-6,2-2,0,2,2,1,1,0,1,2,14
3906967,24,3-3,3-3,0-0,2,4,6,1,0,0,2,0,9
4066840,4,0-0,0-0,0-0,0,0,0,2,0,0,1,0,0
4278335,20,1-2,0-0,1-1,0,5,5,0,1,0,1,2,3
3934630,30,9-13,0-0,3-3,8,7,15,1,3,0,0,2,21
4066471,38,6-12,0-1,0-1,0,2,2,0,1,0,2,1,12
4278333,39,6-16,0-2,1-2,1,2,3,2,1,0,4,2,13
3934628,34,5-18,2-7,2-2,0,2,2,6,1,0,2,3,14
4278334,4,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0
4278332,24,2-4,1-1,0-0,1,4,5,0,0,0,0,2,5
4066472,3,0-1,0-0,0-0,0,1,1,0,0,0,0,0,0
4066469,8,1-2,0-0,0-0,2,1,3,0,0,0,0,2,2
