NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4066494,21,3-9,3-8,1-2,1,5,6,1,2,1,3,5,10
4278297,29,3-6,1-1,1-3,1,7,8,1,0,0,3,4,8
4067251,29,3-8,3-6,0-0,2,1,3,2,1,0,4,1,9
3907804,26,2-12,0-8,2-2,0,0,0,3,0,0,3,2,6
3936293,40,4-11,1-3,3-5,2,4,6,3,1,3,2,1,12
4396640,4,0-0,0-0,1-2,1,1,2,0,0,0,1,0,1
4396638,34,4-7,0-2,0-0,2,5,7,2,0,0,0,0,8
4396639,9,1-3,1-3,0-0,0,1,1,1,0,0,4,2,3
4278296,8,1-2,1-2,1-2,0,0,0,0,1,0,1,2,4
4278280,18,5-13,0-3,2-3,4,2,6,1,1,0,0,2,12
4278282,28,5-8,1-2,0-0,4,10,14,2,2,1,0,1,11
4278283,25,7-13,6-11,0-0,0,1,1,1,3,0,1,2,20
4396634,25,1-4,0-0,0-0,1,4,5,5,1,1,0,0,2
3907788,31,4-10,0-3,0-0,0,4,4,11,2,0,4,0,8
3912845,12,1-3,0-1,0-0,0,5,5,0,0,0,1,3,2
4278284,18,5-6,0-1,1-1,0,0,0,1,0,0,3,3,11
4278287,2,0-1,0-1,0-0,0,0,0,0,0,0,0,1,0
4396632,24,5-13,4-11,0-0,1,1,2,2,0,0,2,1,14
4396633,17,0-2,0-1,3-4,1,0,1,1,1,0,1,4,3
