NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4066813,25,2-4,0-1,1-2,0,3,3,6,0,1,1,3,5
4279477,27,0-3,0-1,0-0,2,6,8,4,0,0,1,1,0
3906954,9,1-4,0-2,0-0,0,2,2,0,1,0,1,1,2
4279474,13,0-0,0-0,0-0,0,1,1,0,1,0,2,2,0
3906955,32,6-14,2-9,8-10,0,1,1,2,0,0,2,4,22
4279475,5,0-2,0-1,0-0,0,1,1,0,0,0,1,2,0
4279472,24,3-7,2-3,3-5,1,1,2,0,2,0,0,4,11
4397937,1,1-1,0-0,0-0,0,1,1,0,0,0,0,0,2
4397938,1,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0
4397939,2,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0
4397940,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
4397941,8,1-2,0-0,0-1,0,0,0,2,1,0,0,2,2
4279473,13,0-1,0-1,0-0,0,0,0,1,0,0,0,0,0
4279476,20,5-10,2-6,0-0,0,1,1,0,0,0,0,1,12
3906957,19,2-6,0-1,1-3,0,3,3,0,0,0,0,2,5
3136934,15,3-3,0-0,0-1,2,3,5,0,1,1,0,2,6
4395688,32,9-15,0-1,5-6,6,9,15,2,0,1,2,2,23
4065750,33,4-8,0-3,6-8,1,5,6,5,0,0,3,3,14
3155501,12,0-1,0-0,1-2,0,2,2,0,0,0,1,5,1
4278045,33,4-11,2-5,2-2,1,5,6,2,1,1,2,3,12
4278047,1,0-1,0-0,0-0,1,0,1,0,0,0,0,0,0
4395686,24,2-7,0-1,0-0,3,5,8,1,1,0,0,1,4
4395691,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
4278046,19,3-5,0-0,1-1,0,3,3,0,0,0,0,0,7
4395689,8,1-4,1-3,0-0,0,3,3,1,0,1,0,0,3
4395687,20,5-6,0-1,1-2,0,1,1,1,0,0,2,1,11
4074937,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
3908846,1,1-1,0-0,0-0,0,0,0,0,0,0,0,0,2
