NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
3941313,13,1-2,0-0,1-3,1,3,4,2,0,0,3,2,3
4066695,40,7-14,0-4,7-9,3,4,7,4,2,1,5,3,21
4395896,30,2-6,1-4,0-0,2,6,8,1,0,0,3,4,5
4067724,29,6-9,1-3,2-2,0,3,3,4,2,1,2,5,15
3913240,36,6-11,4-7,4-5,0,2,2,1,3,0,3,5,20
3941316,19,1-3,0-1,0-0,2,0,2,1,0,0,2,0,2
4278224,3,0-0,0-0,0-0,0,1,1,0,0,0,1,1,0
4395897,26,0-5,0-4,1-4,3,5,8,3,1,0,1,2,1
4278222,4,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
3941310,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
4066802,26,3-6,2-4,2-2,0,5,5,0,3,0,1,2,10
4279463,24,3-7,1-2,4-4,2,0,2,2,0,0,1,3,11
3906824,33,2-4,1-3,2-2,0,4,4,2,0,0,4,2,7
4279461,31,3-5,2-4,2-2,0,4,4,2,1,0,1,0,10
4279462,28,7-16,3-9,2-3,0,2,2,2,2,1,1,1,19
3906822,4,0-0,0-0,0-0,1,0,1,0,0,0,2,0,0
4279464,9,0-0,0-0,0-0,0,2,2,2,2,0,0,0,0
4397914,19,3-4,0-1,1-1,0,0,0,2,1,0,1,5,7
3906825,8,1-2,1-2,0-0,0,2,2,2,0,0,0,5,3
4066800,18,1-6,0-2,6-6,0,0,0,0,0,0,2,2,8
