NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4065705,39,10-20,0-0,2-2,7,7,14,2,2,2,2,2,22
4065703,38,2-11,1-8,2-2,0,1,1,5,2,0,0,2,7
4278010,30,1-8,0-3,2-2,2,5,7,1,0,1,2,2,4
4395664,23,0-4,0-3,0-0,0,2,2,5,1,0,1,2,0
4395667,29,2-10,1-5,1-3,3,0,3,1,4,1,4,0,6
4395665,31,5-10,4-9,5-6,3,3,6,1,0,0,1,2,19
4395666,1,0-0,0-0,0-0,0,0,0,0,0,0,1,1,0
4065704,9,1-2,1-2,0-0,0,1,1,0,0,0,2,1,3
4066327,38,8-13,0-0,0-0,3,7,10,0,0,1,3,3,16
3135059,37,5-12,0-1,3-6,4,4,8,2,2,1,1,4,13
4277869,38,4-12,2-7,6-6,0,3,3,2,3,0,4,1,16
4277872,24,0-5,0-5,0-0,0,3,3,1,1,0,1,1,0
4395631,39,4-7,2-5,1-2,0,3,3,5,2,0,1,2,11
4395632,16,3-3,1-1,0-1,0,2,2,1,0,0,2,4,7
4277871,3,0-0,0-0,0-0,0,0,0,0,0,0,2,0,0
4277868,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
3918425,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
