NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
3135059,29,7-16,0-0,0-0,3,5,8,0,0,0,2,5,14
4066327,20,2-5,0-0,0-1,1,1,2,1,0,1,2,5,4
4277869,39,3-10,0-3,1-2,2,6,8,6,1,0,5,3,7
4277872,25,2-6,1-3,0-0,0,5,5,1,3,0,1,0,5
4395631,37,5-9,1-1,0-1,0,3,3,1,4,0,5,1,11
4395632,14,0-2,0-0,0-0,1,0,1,0,0,0,0,0,0
4395633,1,1-1,1-1,0-0,0,0,0,0,0,0,0,0,3
4277871,7,1-1,0-0,0-0,0,1,1,0,0,0,0,1,2
4277868,24,3-7,0-2,1-2,2,1,3,1,1,1,2,2,7
3904627,3,0-1,0-0,0-0,0,1,1,0,1,0,0,0,0
3918425,1,0-0,0-0,0-0,0,0,0,1,0,1,1,0,0
4395625,38,8-16,1-5,7-8,3,8,11,3,2,0,6,2,24
4395627,38,1-11,1-8,4-4,0,6,6,6,5,1,2,2,7
4395628,34,9-12,0-0,4-5,2,5,7,0,2,3,2,3,22
4065652,11,1-2,0-0,0-0,0,1,1,1,0,1,0,1,2
4395626,35,3-7,0-2,0-0,1,3,4,4,1,0,1,2,6
3913178,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
4065650,2,0-1,0-0,0-0,1,1,2,0,0,0,0,0,0
4065653,11,0-2,0-2,0-0,1,2,3,0,1,1,1,1,0
3913177,6,0-0,0-0,1-2,1,0,1,0,1,1,0,1,1
4277845,5,0-2,0-2,0-0,0,0,0,0,0,0,0,0,0
4277846,19,2-5,0-2,0-0,2,1,3,0,1,0,0,1,4
