NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
3941317,27,3-6,1-2,4-4,2,1,3,4,1,0,0,4,11
4278418,22,1-2,0-0,2-4,0,3,3,1,1,0,1,1,4
4278420,26,8-12,0-0,4-4,4,8,12,1,2,1,3,3,20
3920203,32,6-11,1-3,9-11,0,0,0,2,3,0,4,2,22
4066500,29,5-10,1-3,2-4,3,3,6,2,0,0,2,2,13
3138208,4,0-0,0-0,0-0,0,2,2,1,0,0,0,1,0
4397226,11,0-2,0-0,2-2,1,3,4,0,0,2,3,4,2
4397227,18,3-5,0-0,0-3,2,7,9,2,2,1,0,1,6
4397229,6,0-1,0-0,0-0,0,0,0,0,0,0,0,2,0
4066501,11,0-1,0-1,0-0,1,1,2,1,0,0,0,0,0
4278417,14,1-6,0-4,0-0,0,1,1,0,1,0,0,0,2
4067390,29,1-4,0-1,0-4,0,3,3,0,0,4,1,0,2
4067360,24,3-6,0-0,1-3,2,5,7,2,2,4,4,4,7
4278490,27,5-11,0-3,0-1,4,2,6,1,0,0,3,3,10
4396800,16,0-2,0-1,0-0,0,1,1,4,0,0,3,2,0
4066233,33,5-16,4-12,6-7,1,2,3,3,1,0,1,3,20
4396802,16,3-5,2-3,0-0,0,0,0,1,1,0,0,4,8
4396804,10,3-3,0-0,0-0,1,2,3,0,0,0,1,4,6
4067358,35,5-8,4-6,7-10,0,2,2,5,2,0,4,5,21
4396803,10,0-2,0-1,0-0,0,1,1,0,0,0,0,0,0
