NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
3947156,20,4-7,0-0,0-0,3,2,5,0,0,4,0,3,8
3138200,18,2-2,0-0,1-2,1,3,4,0,0,0,2,5,5
4065730,40,3-11,1-5,3-4,1,5,6,3,1,0,2,1,10
4065732,38,4-8,1-1,6-8,1,4,5,4,0,0,4,5,15
4065733,41,5-11,2-4,0-0,0,6,6,6,1,0,4,3,12
4065731,15,3-3,0-0,2-3,0,1,1,0,0,1,1,4,8
4066240,31,3-8,0-0,2-2,4,4,8,1,0,1,2,1,8
4395677,22,0-2,0-0,0-0,0,1,1,1,0,0,0,0,0
3906811,30,2-2,0-0,7-11,5,2,7,0,1,3,1,2,11
3946973,24,3-7,0-3,1-2,1,0,1,1,0,0,0,3,7
4065699,31,3-11,2-9,6-7,1,5,6,2,3,0,3,1,14
3132359,33,6-16,1-3,0-0,1,2,3,1,0,0,1,1,13
4278007,34,3-8,2-6,0-0,0,0,0,1,1,0,0,1,8
4066401,14,1-4,0-0,0-1,0,1,1,0,1,1,1,3,2
4395661,12,0-1,0-0,0-0,1,2,3,1,0,0,2,2,0
4066428,32,4-11,2-3,0-0,1,1,2,3,1,0,0,1,10
4278106,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
3133822,14,0-4,0-2,0-0,0,1,1,1,1,0,0,2,0
