NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
3922029,36,5-14,2-6,0-2,1,13,14,3,1,0,2,2,12
4066728,12,0-1,0-1,0-0,0,1,1,1,0,0,1,2,0
4278237,16,1-3,1-2,0-0,0,0,0,1,0,1,0,2,3
4278238,37,8-12,7-9,0-0,2,1,3,3,1,0,1,1,23
3132469,39,3-7,2-5,1-1,0,0,0,1,1,0,2,3,9
4396577,8,1-1,1-1,0-0,0,0,0,1,1,0,0,1,3
4396579,4,0-2,0-1,0-0,0,0,0,0,0,1,0,1,0
4066743,24,3-9,0-5,1-1,0,3,3,1,1,1,1,3,7
4396576,24,0-5,0-1,1-2,0,4,4,2,0,0,3,3,1
3130572,38,2-4,0-0,4-8,0,11,11,2,2,2,0,3,8
4066691,37,4-5,3-4,4-6,0,6,6,0,4,0,2,1,15
4395880,35,7-13,1-3,6-9,0,5,5,3,0,0,3,2,21
3149019,37,4-9,2-6,0-0,0,1,1,0,0,0,1,0,10
3904610,28,3-9,1-4,1-1,0,4,4,1,0,0,0,0,8
4395882,3,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0
4395883,2,0-0,0-0,0-0,0,0,0,0,0,0,1,1,0
3904609,15,1-2,0-0,2-2,2,1,3,4,2,0,1,0,4
4395879,5,1-1,1-1,0-0,0,0,0,0,0,0,1,1,3
