NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
3904749,45,7-12,2-5,1-2,2,2,4,3,1,0,0,5,17
4279163,38,2-7,0-0,2-5,5,5,10,1,1,0,4,4,6
3913216,21,2-5,2-4,0-0,0,1,1,0,1,0,1,0,6
4396589,41,3-9,0-2,0-1,0,3,3,3,2,1,3,2,6
4396591,15,1-5,0-1,0-0,0,2,2,0,0,0,2,1,2
4279162,29,1-6,0-3,7-9,0,7,7,2,0,0,1,0,9
4066775,32,7-12,2-3,2-2,1,4,5,0,1,0,0,3,18
3904748,4,0-0,0-0,0-0,0,0,0,0,0,1,0,0,0
3130746,36,5-9,3-4,0-0,2,12,14,2,0,1,3,3,13
3917980,35,7-10,0-1,2-3,2,4,6,2,2,0,1,4,16
3917978,44,1-12,1-11,0-0,0,4,4,3,0,0,2,4,3
3917979,44,5-14,1-6,5-8,0,3,3,4,3,0,3,4,16
4278214,34,4-6,4-6,3-3,0,2,2,1,0,1,2,1,15
4395893,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
3130743,14,0-1,0-1,0-0,2,0,2,0,0,0,0,0,0
4395888,17,1-3,1-2,0-0,3,1,4,0,0,1,0,2,3
