NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4278362,21,2-4,0-0,2-6,4,2,6,0,0,0,1,2,6
4396818,31,6-9,1-2,0-2,7,1,8,2,0,1,0,3,13
4278360,18,0-4,0-3,1-2,1,4,5,1,0,0,2,3,1
3908867,31,2-9,2-7,0-0,0,4,4,2,0,0,2,3,6
4066863,35,7-17,2-6,4-4,0,7,7,2,1,0,2,3,20
4278356,21,1-4,1-3,0-0,0,4,4,1,1,0,0,2,3
4278358,3,0-0,0-0,0-0,0,0,0,0,0,0,1,1,0
3908374,13,0-1,0-0,0-0,0,2,2,3,0,0,0,1,0
4066862,1,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0
4396817,26,3-12,2-7,0-0,0,0,0,1,0,0,0,1,8
4397224,37,2-6,0-0,3-4,3,5,8,3,0,3,1,1,7
3919422,26,3-6,0-2,0-0,0,1,1,6,0,0,2,3,6
3919423,40,3-11,0-1,4-5,2,9,11,1,2,3,0,2,10
4397220,40,6-12,4-6,4-4,1,2,3,5,0,0,1,2,20
4397221,40,6-12,6-12,2-2,1,4,5,1,0,3,1,3,20
4066517,3,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0
3936100,14,2-6,0-3,1-2,0,1,1,1,0,0,1,1,5
