NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
3914047,38,9-19,4-9,12-13,7,5,12,2,3,2,1,2,34
4396682,11,2-4,0-0,2-2,0,1,1,0,1,0,0,4,6
4278482,33,3-13,2-6,0-0,1,5,6,2,0,0,1,3,8
4396676,38,6-11,1-4,6-7,4,8,12,2,2,2,4,3,19
4396677,27,1-6,0-1,0-0,1,2,3,5,0,0,3,4,2
4396685,6,0-0,0-0,2-2,0,1,1,1,1,0,0,1,2
4278483,2,0-1,0-1,0-0,0,0,0,0,0,0,0,2,0
4278485,23,3-7,0-0,0-0,2,2,4,0,0,2,2,1,6
4396678,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
4396679,20,1-3,1-3,0-0,0,1,1,2,0,0,3,2,3
4278332,26,1-3,1-2,1-2,0,3,3,0,0,0,1,5,4
3934630,28,6-10,0-0,4-5,10,9,19,0,0,1,4,4,16
3934628,36,7-18,4-10,2-2,0,1,1,3,1,0,4,2,20
4066471,36,6-16,1-4,4-4,3,3,6,2,3,0,1,1,17
4278333,37,2-9,0-1,7-11,2,3,5,3,0,0,1,1,11
4278334,12,0-0,0-0,1-2,1,2,3,0,0,0,0,3,1
4278335,14,2-2,1-1,0-0,0,1,1,0,0,0,3,2,5
4066469,11,0-3,0-2,0-0,0,0,0,2,1,0,1,0,0
