NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4278284,15,1-4,0-0,0-0,1,1,2,0,0,0,1,3,2
4278280,31,2-7,0-2,0-3,3,3,6,0,0,1,1,3,4
4278282,27,2-3,0-1,0-0,0,2,2,2,0,0,1,5,4
4278283,25,3-6,1-1,1-1,0,3,3,2,1,0,1,4,8
3907788,36,9-19,4-9,6-6,1,2,3,5,0,1,3,1,28
3912845,25,7-11,0-1,0-0,1,6,7,0,0,1,1,2,14
4396632,21,2-5,2-5,0-0,0,1,1,2,1,0,1,1,6
4396633,5,0-0,0-0,0-0,1,1,2,1,0,0,2,0,0
4396634,15,1-1,1-1,0-0,0,4,4,4,0,1,4,5,3
3934620,32,3-6,0-1,2-4,3,4,7,1,2,1,2,0,8
4066485,29,4-7,0-0,5-6,6,6,12,0,1,1,0,4,13
4278217,34,4-11,0-1,2-4,1,2,3,3,3,1,5,2,10
4066486,33,6-12,1-5,13-16,1,5,6,3,1,1,3,3,26
3934619,18,3-9,2-6,0-0,0,1,1,2,1,0,1,1,8
4278220,8,0-0,0-0,0-0,0,2,2,0,0,0,1,2,0
4278218,15,0-2,0-1,0-2,1,0,1,1,0,0,0,1,0
4396608,3,0-0,0-0,0-0,0,0,0,0,1,0,0,0,0
4396609,5,0-3,0-1,0-0,3,0,3,0,0,0,0,0,0
3153183,23,2-7,1-4,1-4,0,1,1,1,0,0,0,2,6
