NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4279518,20,1-7,0-4,0-0,0,7,7,1,0,2,0,1,2
4398211,30,7-14,3-7,3-3,0,3,3,0,0,0,5,3,20
4067698,16,0-2,0-1,0-0,0,3,3,0,0,0,0,2,0
4067700,26,3-5,0-2,0-0,0,3,3,3,0,0,5,1,6
4398213,24,1-4,0-0,2-2,0,3,3,0,0,0,0,1,4
3906789,19,1-5,0-2,4-4,1,2,3,0,0,0,1,1,6
4398214,4,2-3,2-3,0-0,0,0,0,1,0,0,0,0,6
4279755,14,4-9,3-6,0-0,0,0,0,1,1,0,0,2,11
4398212,6,0-1,0-1,0-0,0,3,3,1,0,0,0,1,0
4279514,16,2-3,0-1,0-0,0,0,0,0,0,0,0,1,4
4279516,12,0-2,0-0,0-0,1,1,2,0,0,0,0,1,0
4067699,13,0-3,0-2,3-5,1,1,2,0,0,0,0,3,3
4065650,15,1-2,0-0,0-0,0,2,2,1,0,3,1,3,2
4395625,34,9-18,2-4,6-9,5,9,14,3,1,0,1,2,26
4395627,26,3-9,2-6,4-4,0,4,4,3,2,1,1,1,12
4395628,30,12-16,1-2,0-2,1,2,3,0,1,1,0,0,25
4395626,30,2-5,0-2,1-2,0,3,3,4,1,0,1,2,5
3913178,4,0-0,0-0,0-0,0,2,2,0,0,0,1,2,0
4395624,7,1-2,1-1,0-0,2,0,2,0,0,1,1,1,3
3913177,4,0-1,0-0,0-0,0,1,1,0,0,0,0,0,0
4065652,18,1-3,0-0,0-0,0,3,3,2,0,1,0,1,2
4277845,21,1-2,1-2,0-0,0,1,1,1,1,0,0,2,3
4277846,11,3-7,1-2,0-0,0,2,2,0,0,0,0,0,7
