NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
3914047,38,5-12,3-9,3-6,1,1,2,1,0,0,2,2,16
4396682,21,7-8,2-3,2-2,0,2,2,0,3,2,1,4,18
4278482,35,4-15,2-5,0-0,1,9,10,3,0,0,4,2,10
4396676,38,3-8,1-5,2-2,1,10,11,0,0,3,1,1,9
4396677,21,0-2,0-0,0-0,1,0,1,3,0,0,5,2,0
4396685,4,1-1,0-0,0-0,2,1,3,0,0,0,1,1,2
4278483,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
4278485,14,3-4,0-0,0-0,1,2,3,0,0,1,0,4,6
4396678,12,1-2,0-0,0-0,0,0,0,3,0,0,2,3,2
4396679,15,0-3,0-2,0-0,1,2,3,1,0,0,1,4,0
3133922,34,1-5,1-3,4-4,0,6,6,1,0,3,1,4,7
3947075,31,2-8,0-0,4-8,3,5,8,1,3,2,3,4,8
4277835,21,2-3,1-2,2-2,4,3,7,1,0,0,1,2,7
4277833,34,1-8,0-3,4-5,0,4,4,1,1,1,3,1,6
3133969,39,5-20,0-5,8-10,0,2,2,1,3,0,3,1,18
4395620,6,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
3913224,7,2-2,0-0,1-2,1,0,1,0,1,0,0,0,5
4395623,1,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0
3917984,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
4395622,27,2-7,0-1,0-0,0,0,0,1,2,0,0,1,4
