NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4278308,35,5-13,1-5,4-5,3,5,8,1,1,2,3,4,15
4396642,23,2-10,0-0,0-2,4,6,10,1,1,1,1,1,4
3922039,38,3-12,2-7,0-0,0,7,7,5,3,0,3,3,8
4278306,38,3-8,0-4,11-13,1,2,3,4,0,0,2,4,17
4278307,22,1-3,0-2,0-0,5,2,7,1,2,0,2,4,2
4278083,7,1-1,0-0,0-0,0,1,1,0,0,0,0,3,2
4396649,15,4-7,0-0,0-0,2,1,3,0,0,0,1,1,8
3136177,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
4396641,20,0-4,0-1,2-2,0,0,0,0,1,0,2,2,2
4278229,31,7-9,0-0,2-3,3,6,9,3,0,2,5,3,16
4278230,29,2-3,0-1,4-5,1,1,2,1,0,1,0,3,8
3136501,33,0-5,0-2,4-5,1,5,6,2,1,1,1,1,4
4066441,36,6-15,0-4,3-5,0,1,1,1,1,0,2,3,15
4278233,24,1-4,0-1,1-2,1,2,3,1,1,0,1,3,3
4278231,2,1-1,0-0,0-0,1,0,1,0,0,0,1,0,2
3923248,7,0-2,0-0,0-0,0,0,0,0,1,0,0,1,0
4396612,15,1-4,0-2,1-1,1,1,2,0,0,0,0,1,3
4066443,23,2-9,0-5,5-6,0,2,2,1,2,0,0,4,9
