NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
3947200,37,6-11,1-1,5-7,0,6,6,5,1,1,6,3,18
4278448,16,0-0,0-0,1-2,1,2,3,1,0,0,0,2,1
4278449,40,8-15,4-8,5-6,0,6,6,1,3,0,3,4,25
4278451,35,5-9,4-6,12-13,0,6,6,2,3,0,0,1,26
4067192,37,3-6,1-2,2-4,0,1,1,3,0,0,2,1,9
4396755,11,0-0,0-0,0-0,1,0,1,2,0,1,2,1,0
3947203,7,2-2,0-0,0-0,0,0,0,0,0,0,0,1,4
4278452,8,0-1,0-0,0-0,0,2,2,0,0,0,0,0,0
4396753,9,0-0,0-0,0-0,0,0,0,0,1,0,0,0,0
4066777,27,5-12,3-7,2-2,1,3,4,0,1,2,3,0,15
4278389,26,0-0,0-0,1-2,1,4,5,1,1,2,0,2,1
4396689,20,2-9,0-3,0-0,3,4,7,2,1,0,1,2,4
3132057,27,10-15,5-10,2-3,0,2,2,3,2,0,3,3,27
3155750,34,3-6,1-2,0-0,0,2,2,4,1,0,3,3,7
4067127,17,2-5,1-3,0-2,0,1,1,1,0,0,0,2,5
4067124,25,3-6,1-2,1-1,0,1,1,4,0,0,2,3,8
4396688,24,4-6,3-4,0-0,1,2,3,4,0,1,2,3,11
