NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
3135054,26,4-9,0-3,1-2,2,2,4,0,0,0,2,0,9
3907824,20,4-8,0-0,0-2,3,7,10,0,0,3,0,1,8
3907823,32,3-6,0-1,2-4,2,5,7,2,1,0,1,4,8
4065656,32,3-9,1-1,4-6,1,3,4,5,0,0,0,3,11
4277854,24,2-8,2-6,0-0,0,4,4,2,2,0,2,4,6
4277850,10,2-2,0-0,0-0,0,1,1,0,1,0,0,3,4
4065660,20,3-5,0-1,1-3,2,7,9,0,0,3,3,2,7
4065657,11,1-3,1-3,0-0,0,0,0,0,0,0,0,2,3
3918723,11,1-4,1-4,0-0,0,3,3,0,0,0,0,4,3
4395630,8,1-2,1-2,1-2,1,0,1,2,1,0,0,0,4
4277852,6,0-0,0-0,2-2,0,0,0,0,1,0,0,0,2
3136934,23,0-2,0-0,0-0,1,6,7,0,0,0,0,3,0
4395688,26,3-7,0-1,1-2,2,2,4,0,1,0,2,2,7
3908846,4,1-1,1-1,0-0,0,1,1,0,1,0,0,0,3
4065750,40,5-16,0-4,3-3,1,4,5,1,1,0,1,3,13
4074937,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
4278047,12,1-2,0-0,0-1,1,2,3,0,0,0,0,5,2
4395686,24,1-10,0-4,8-11,3,2,5,0,1,0,2,3,10
4395687,31,2-8,1-2,4-6,2,4,6,2,0,0,1,2,9
4395689,3,0-2,0-1,2-2,1,0,1,0,0,0,0,1,2
4278045,37,3-13,1-4,4-4,2,7,9,1,0,0,1,2,11
