NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
3158440,32,3-7,0-0,2-2,1,3,4,2,0,1,2,3,8
4278441,13,2-3,0-0,0-1,1,1,2,0,0,1,3,4,4
4278435,32,3-10,2-8,5-6,0,1,1,2,2,0,5,2,13
4396694,32,0-8,0-5,0-0,0,1,1,4,2,0,0,1,0
4396697,28,4-10,0-2,4-5,2,4,6,2,3,2,1,1,12
4396696,2,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0
4396693,11,0-2,0-1,0-0,0,2,2,1,1,0,0,3,0
4278436,1,0-0,0-0,0-2,0,0,0,0,0,0,0,1,0
4278438,27,5-6,0-0,1-4,2,4,6,1,0,2,1,3,11
4067146,22,4-8,3-6,0-0,0,3,3,1,0,0,0,1,11
3131629,22,3-5,1-2,0-0,4,2,6,1,0,0,1,1,7
4067332,23,3-8,1-5,1-2,3,4,7,2,0,0,2,5,8
4280173,26,4-8,1-1,6-6,1,2,3,1,0,0,2,4,15
4396016,22,3-9,0-1,0-1,2,3,5,2,1,1,3,3,6
4066637,21,1-9,0-4,1-1,2,1,3,2,1,0,2,3,3
4280172,15,2-3,2-3,2-2,0,3,3,0,0,0,0,0,8
3130577,14,3-6,0-1,1-3,4,4,8,0,0,0,1,0,7
4396017,24,2-5,0-1,3-4,1,7,8,3,0,0,2,2,7
3130581,13,2-3,0-1,2-2,0,2,2,0,1,0,2,2,6
4280171,20,4-9,0-1,1-2,1,2,3,3,1,0,0,0,9
