NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4279650,26,2-5,2-5,2-2,0,6,6,0,0,0,1,1,8
4067953,13,1-5,1-1,0-0,2,0,2,2,0,0,0,3,3
3133979,33,6-12,2-5,0-0,1,5,6,3,1,0,1,1,14
3913229,22,6-10,0-1,2-2,5,1,6,2,1,0,2,2,14
4279651,30,5-13,3-10,1-2,0,2,2,0,1,0,2,0,14
4284593,2,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0
4067291,19,2-5,0-0,0-0,2,1,3,0,0,0,1,2,4
3155881,19,1-2,1-2,0-0,0,3,3,1,0,0,1,1,3
4398010,8,1-1,0-0,0-0,1,1,2,0,0,1,1,0,2
4398009,4,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0
4279649,24,1-10,0-4,2-2,1,1,2,0,1,0,1,2,4
4278380,31,6-7,0-0,3-4,1,5,6,2,0,0,0,2,15
4066836,28,9-12,0-1,2-4,0,4,4,2,0,0,2,1,20
4066832,33,9-11,3-3,1-1,2,4,6,1,4,0,3,0,22
4278378,34,6-12,1-4,2-2,0,1,1,6,0,0,1,1,15
4397191,29,3-9,2-6,0-0,0,8,8,5,5,0,1,3,8
4397192,10,1-1,1-1,0-1,1,0,1,0,0,0,0,1,3
4072624,12,1-3,0-2,0-0,0,2,2,0,0,0,0,0,2
4397190,3,1-1,0-0,1-1,1,0,1,0,0,0,0,0,3
3908869,3,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0
3908871,12,0-1,0-1,0-0,0,1,1,1,0,1,0,3,0
4278379,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
4397193,3,0-0,0-0,0-0,0,1,1,0,0,0,1,0,0
