NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4279766,21,2-5,1-2,0-0,1,3,4,4,0,0,3,3,5
4279768,24,1-3,0-1,0-0,1,2,3,1,0,0,1,3,2
4067878,26,2-6,0-2,0-0,0,1,1,1,0,0,1,3,4
4279771,29,2-8,2-8,0-0,0,3,3,0,0,0,1,2,6
4398109,32,2-9,2-4,0-0,0,2,2,0,0,0,4,1,6
4279770,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
4398110,6,1-2,0-1,0-0,0,1,1,1,0,0,0,0,2
4398113,12,2-4,0-0,0-0,1,3,4,0,0,0,1,4,4
4398111,23,2-8,0-2,0-0,0,1,1,2,0,0,1,1,4
4398112,0,1-2,0-0,0-0,1,0,1,0,0,0,0,1,2
3947036,7,1-2,1-2,0-0,0,1,1,1,0,0,0,0,3
3947465,17,1-3,0-2,0-0,0,2,2,0,0,0,2,1,2
3947156,22,7-9,2-2,2-2,1,2,3,1,0,2,2,2,18
4065730,28,3-5,1-1,0-0,1,5,6,5,1,0,0,0,7
4065732,15,7-9,4-4,2-3,0,1,1,3,3,0,1,2,20
4065733,25,4-6,1-2,2-3,0,4,4,6,2,0,1,1,11
4066240,27,2-4,1-2,2-2,1,6,7,1,0,2,0,1,7
4065731,16,4-5,1-1,0-1,1,3,4,0,0,0,0,1,9
4278037,7,1-2,1-2,0-0,0,0,0,1,0,0,0,0,3
4395677,22,3-8,3-7,0-0,0,2,2,2,0,0,0,0,9
4395678,7,1-4,0-1,0-0,0,3,3,0,1,1,0,1,2
4278034,17,1-3,0-1,0-0,0,2,2,4,0,0,0,0,2
4395680,10,1-2,0-1,4-4,1,1,2,1,1,0,0,0,6
4402822,4,1-1,1-1,0-0,0,0,0,0,0,0,0,0,3
