NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4278308,39,4-12,0-3,3-3,5,12,17,0,1,2,1,2,11
4396642,13,2-5,0-0,0-2,2,2,4,0,0,1,1,5,4
4278306,35,7-12,4-5,3-6,1,2,3,3,1,0,4,4,21
3136177,36,3-12,3-9,0-0,0,1,1,4,1,0,1,2,9
3922039,28,4-8,1-2,4-8,0,3,3,5,1,0,3,5,13
4396649,13,2-2,0-0,0-0,0,1,1,1,2,0,0,0,4
4278083,17,0-3,0-0,4-6,2,1,3,1,0,0,1,4,4
3948790,8,0-1,0-1,0-0,1,0,1,0,0,0,0,0,0
4278307,17,2-6,1-4,2-2,0,1,1,0,0,0,0,0,7
4396641,19,0-5,0-1,0-0,1,2,3,0,0,0,1,1,0
3149034,17,1-3,0-1,1-2,0,5,5,0,0,0,0,4,3
3934669,39,10-19,2-4,5-5,2,4,6,1,0,2,1,4,27
4278566,33,1-5,0-1,0-0,0,5,5,1,1,3,3,1,2
4397071,17,3-7,1-3,0-0,0,2,2,0,0,0,1,1,7
4397072,36,5-12,1-4,3-4,0,2,2,5,3,0,6,2,14
4397074,26,3-4,0-0,3-4,3,7,10,1,0,0,1,3,9
4397075,2,0-0,0-0,0-0,0,0,0,0,0,0,1,1,0
4278565,30,1-6,1-5,1-2,0,2,2,2,1,0,1,2,4
4065792,13,1-1,0-0,4-6,0,2,2,1,0,0,1,2,6
3129965,7,0-1,0-0,4-4,0,1,1,0,1,0,0,1,4
3934671,5,0-0,0-0,0-0,1,0,1,0,0,0,0,1,0
