NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4403367,33,3-8,1-2,1-1,1,3,4,4,0,0,0,1,8
4283577,12,0-2,0-0,0-0,1,2,3,0,1,1,4,3,0
4403366,18,5-9,0-0,3-4,1,3,4,0,0,0,1,1,13
4283578,39,9-20,1-4,8-11,0,2,2,4,1,0,3,0,27
4283580,11,0-0,0-0,0-0,0,1,1,1,0,0,0,1,0
4283579,11,0-1,0-0,1-2,0,1,1,0,0,0,1,0,1
4403365,10,0-0,0-0,0-0,0,1,1,1,0,0,1,3,0
4283581,4,1-2,0-0,0-0,0,0,0,0,0,0,0,1,2
3155553,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
4403368,11,2-5,0-0,0-0,2,0,2,0,0,0,1,1,4
3949235,16,1-3,1-2,2-2,0,5,5,1,0,0,3,1,5
3949238,6,0-0,0-0,0-0,0,0,0,0,0,1,0,0,0
4283576,6,0-1,0-1,0-0,0,1,1,0,0,0,1,2,0
4283582,3,0-0,0-0,0-0,0,0,0,0,1,0,1,1,0
4283584,18,0-3,0-3,0-0,0,0,0,0,2,0,1,4,0
3946036,21,4-9,0-2,4-4,0,1,1,3,0,0,0,0,12
3149936,18,5-7,0-0,1-1,2,2,4,0,2,2,0,3,11
3947017,21,6-7,4-5,1-1,1,3,4,1,2,0,1,1,17
3947221,29,1-6,1-4,2-2,0,10,10,11,2,0,5,2,5
4278368,28,6-13,4-9,0-0,1,2,3,5,2,0,1,2,16
4397161,20,2-4,0-0,0-1,2,5,7,1,1,0,0,4,4
4397162,11,1-3,0-0,2-4,1,1,2,0,0,0,1,4,4
4278370,10,4-6,0-0,0-0,2,4,6,0,0,1,1,2,8
4397160,16,3-5,0-0,1-2,0,1,1,0,0,0,2,1,7
4066270,4,0-0,0-0,0-1,0,1,1,0,0,0,1,1,0
4066460,22,2-3,1-2,3-4,0,0,0,1,1,0,0,3,8
