NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
3907455,36,4-5,0-0,4-8,1,4,5,6,1,6,2,1,12
4280072,22,3-4,2-3,1-2,1,3,4,0,0,1,0,5,9
4280073,38,6-12,2-4,3-4,1,2,3,3,2,0,2,3,17
4280068,42,6-13,0-4,0-0,2,5,7,4,1,0,0,2,12
4280070,39,4-9,0-2,1-2,0,5,5,1,0,0,3,1,9
4280071,9,0-2,0-2,0-0,1,0,1,1,0,0,0,0,0
4398054,2,0-0,0-0,0-0,1,0,1,0,0,0,0,0,0
3907453,32,3-10,1-2,3-4,0,3,3,3,2,0,1,0,10
4280069,5,0-1,0-0,0-0,0,0,0,0,0,0,1,0,0
4066683,44,4-9,3-4,1-2,4,5,9,2,0,1,1,5,12
4278202,13,2-2,0-0,3-4,3,2,5,0,1,0,2,2,7
4278204,26,3-6,0-0,0-0,3,4,7,0,0,0,1,2,6
4278203,44,8-17,4-11,2-2,0,6,6,4,0,0,3,0,22
4278199,25,1-14,1-7,1-4,1,0,1,4,1,0,4,4,4
4395878,22,2-4,0-0,2-2,2,6,8,1,0,0,1,4,6
4066754,1,0-0,0-0,0-0,0,0,0,0,0,0,1,2,0
3961485,30,2-6,1-2,0-0,0,3,3,3,3,0,0,1,5
4395875,20,1-5,1-4,0-0,1,1,2,2,0,0,2,2,3
