NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4398090,10,2-3,0-0,1-2,1,0,1,0,0,0,1,1,5
3938908,25,2-3,2-3,2-4,1,0,1,2,1,0,4,3,8
3948698,37,4-7,0-1,4-5,0,3,3,5,3,0,3,4,12
4067164,28,3-7,2-4,1-2,0,3,3,2,0,0,1,2,9
4067295,36,8-12,0-2,3-3,0,3,3,5,1,1,2,4,19
4279492,14,3-5,3-4,0-0,0,2,2,1,1,0,2,0,9
4398087,20,4-7,0-1,4-8,0,9,9,0,0,0,0,3,12
4398088,11,1-2,1-2,0-0,0,2,2,1,0,0,1,2,3
3948791,19,1-3,1-3,0-0,1,0,1,0,0,0,0,1,3
3130746,39,8-18,2-5,8-10,1,5,6,1,1,0,1,4,26
3917980,39,8-15,0-2,3-5,4,5,9,0,0,0,3,4,19
3917978,35,2-6,2-4,4-4,0,2,2,5,2,0,5,5,10
3917979,40,7-13,0-4,1-2,2,3,5,3,2,0,3,1,15
4278214,22,1-3,1-3,0-0,0,2,2,1,1,0,0,1,3
4395893,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
3130743,20,1-2,0-1,0-0,1,1,2,2,0,0,0,2,2
4395888,5,0-0,0-0,0-0,0,0,0,0,0,0,0,2,0
