NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4066836,39,16-24,1-4,0-0,2,7,9,2,1,2,3,3,33
4278380,18,0-3,0-1,3-4,0,2,2,1,0,2,1,4,3
4397191,38,5-10,5-9,0-0,0,3,3,3,0,0,0,3,15
4066832,40,4-10,0-1,1-1,0,9,9,7,1,0,1,1,9
4278378,30,1-5,1-4,0-0,0,1,1,6,1,0,0,0,3
4072624,12,0-3,0-2,0-0,0,2,2,0,0,0,1,0,0
4397193,1,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0
3908869,3,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0
3908871,19,1-3,1-1,0-0,0,3,3,2,0,0,1,2,3
4066794,37,1-3,0-0,0-0,0,4,4,0,0,1,0,2,2
3134927,23,2-6,1-3,0-0,0,2,2,1,0,0,0,1,5
3914058,38,11-22,1-5,6-6,1,4,5,4,2,0,1,0,29
4397443,38,3-6,3-5,1-3,0,6,6,2,1,0,1,4,10
4397446,21,2-2,0-0,0-0,0,3,3,0,0,1,2,0,4
4397442,6,1-1,0-0,1-2,0,0,0,0,0,0,1,0,3
4280267,35,5-15,2-5,3-6,2,6,8,1,1,1,1,1,15
4397440,2,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0
