NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4397196,12,3-8,0-1,0-0,2,0,2,1,0,1,1,4,6
4278403,29,6-12,0-0,1-3,2,8,10,2,0,6,4,3,13
4278402,33,8-11,0-0,0-1,5,3,8,4,2,0,1,4,16
3131633,13,0-2,0-1,0-0,1,1,2,2,0,0,0,0,0
3147687,25,3-7,2-3,4-4,2,2,4,0,2,0,1,4,12
3149900,29,4-9,0-0,2-4,1,6,7,1,0,0,1,1,10
4397200,8,1-3,1-1,2-2,0,0,0,0,0,0,0,0,5
4397201,2,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0
3136535,20,3-10,2-6,0-0,1,1,2,1,2,0,0,2,8
4397198,12,0-2,0-1,0-0,0,2,2,1,1,0,2,3,0
4397199,17,1-3,0-1,1-2,2,3,5,0,0,0,1,2,3
4278017,24,1-2,0-1,0-0,1,5,6,0,0,2,0,2,2
3938916,39,5-16,0-1,3-6,1,1,2,3,2,0,1,3,13
4395669,26,6-11,1-1,7-8,1,1,2,2,1,0,2,4,20
4395670,18,1-4,0-1,4-4,1,1,2,0,1,0,2,2,6
4395671,24,3-7,0-3,2-3,1,7,8,0,0,2,0,1,8
4278018,16,1-3,0-0,4-8,2,6,8,1,0,1,2,3,6
4067470,26,5-8,2-3,1-2,0,0,0,3,1,0,0,1,13
4278012,27,2-4,1-2,2-3,0,4,4,1,0,0,2,3,7
