NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4279701,0,1-5,0-0,2-2,0,3,3,1,0,0,2,3,4
4279705,0,3-4,1-1,2-4,5,5,10,0,1,0,3,0,9
4279703,0,0-3,0-3,0-0,0,1,1,1,1,0,0,2,0
4398103,0,3-10,0-2,0-3,2,3,5,2,5,0,4,4,6
4398108,0,2-8,0-2,0-0,2,0,2,1,0,0,2,3,4
4398107,0,0-2,0-2,0-0,0,0,0,0,1,0,1,1,0
4279706,0,0-2,0-0,0-0,0,0,0,0,1,0,2,2,0
3149898,0,4-7,0-0,1-4,2,1,3,0,0,0,0,1,9
4398104,0,1-6,1-4,2-2,0,0,0,3,1,0,1,3,5
3948706,0,0-3,0-3,0-0,0,0,0,1,2,0,2,0,0
4277944,0,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0
4398106,0,3-5,0-1,0-0,4,0,4,1,1,1,2,2,6
4066875,0,4-5,0-1,3-5,2,11,13,1,1,2,1,2,11
4278493,0,3-5,0-1,2-3,1,2,3,4,2,0,2,3,8
4278494,0,4-6,3-5,0-0,0,3,3,4,1,1,4,3,11
3911841,0,6-10,0-0,4-6,1,2,3,1,1,1,1,2,16
3913163,0,2-6,1-4,2-2,0,4,4,6,0,1,3,3,7
4066970,0,1-1,0-0,0-0,0,0,0,0,0,0,0,1,2
4278497,0,1-1,0-0,0-0,0,0,0,0,0,0,0,1,2
4396837,0,0-1,0-0,0-0,0,0,0,0,0,1,1,0,0
4396838,0,0-0,0-0,0-0,0,1,1,0,0,0,0,1,0
4396840,0,0-0,0-0,2-2,0,0,0,1,1,0,1,0,2
4396836,0,0-1,0-0,0-2,0,1,1,0,1,0,4,2,0
4278495,0,1-5,1-4,0-0,1,1,2,0,1,1,3,1,3
4066873,0,3-3,1-1,1-2,2,2,4,0,0,0,0,0,8
4066874,0,0-1,0-1,0-0,0,0,0,0,0,0,1,0,0
