NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
3941316,4,0-1,0-0,0-0,0,0,0,0,0,0,0,2,0
4066695,40,2-9,0-2,1-4,1,6,7,4,0,3,1,2,5
4395896,40,3-5,1-1,0-0,5,4,9,2,1,2,2,2,7
4067724,29,3-7,0-4,1-2,0,4,4,2,2,0,4,4,7
3913240,36,8-19,3-10,0-0,0,3,3,0,1,0,3,4,19
3941313,19,5-7,0-0,0-0,0,3,3,0,0,1,3,1,10
4278224,4,0-1,0-0,0-0,0,1,1,0,0,0,1,1,0
4395897,13,1-3,0-1,0-0,0,1,1,2,1,0,0,2,2
4278222,10,0-0,0-0,0-0,0,1,1,1,0,0,1,0,0
3941310,5,0-2,0-1,0-0,1,0,1,0,0,0,0,0,0
4066877,17,2-5,0-0,0-2,1,5,6,1,1,0,0,3,4
4279743,34,4-9,3-7,0-0,1,0,1,1,0,0,3,0,11
4070684,27,3-8,1-3,5-10,3,3,6,1,1,2,2,2,12
4066478,13,0-4,0-3,0-0,0,1,1,2,1,1,2,2,0
4398399,37,6-12,4-9,3-5,0,7,7,3,2,0,1,0,19
3947028,23,0-1,0-0,1-3,0,5,5,0,1,0,0,3,1
3947024,33,4-6,3-5,0-0,1,2,3,3,1,0,1,2,11
4398400,16,0-4,0-4,0-0,0,0,0,1,0,0,1,1,0
