NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4278017,23,4-5,1-2,0-0,2,1,3,0,0,1,0,4,9
3938916,19,2-4,0-1,0-0,1,2,3,1,0,0,2,3,4
4395669,40,6-14,2-5,4-5,0,4,4,6,1,0,6,5,18
4395670,31,3-6,2-3,2-2,0,5,5,1,1,0,3,2,10
4395671,11,2-3,0-0,0-0,0,3,3,0,0,0,2,3,4
4278018,17,2-4,0-0,1-2,1,5,6,2,0,1,1,1,5
4067470,32,3-11,2-5,1-4,2,3,5,3,1,0,0,1,9
4278012,19,3-6,1-2,0-0,0,5,5,0,1,0,3,3,7
4278016,8,1-2,0-1,0-0,0,1,1,0,1,0,0,1,2
4066367,31,1-5,0-1,7-12,5,3,8,3,0,1,0,1,9
4277951,17,2-4,1-1,0-0,0,2,2,2,0,0,1,2,5
4397033,34,7-13,4-8,0-0,2,9,11,0,1,2,1,1,18
3935015,16,0-3,0-2,4-4,1,0,1,1,1,1,4,4,4
4066366,37,4-12,3-9,1-2,0,2,2,2,6,0,3,3,12
3155509,18,4-7,3-5,5-7,2,3,5,0,1,0,2,2,16
4066368,9,0-0,0-0,0-0,0,1,1,0,2,0,1,2,0
4277950,20,0-3,0-1,1-2,0,2,2,4,0,0,0,3,1
4066365,18,1-5,1-4,1-1,0,1,1,0,0,0,1,0,4
