NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4396585,28,3-5,0-0,6-9,3,4,7,0,0,2,1,3,12
4278239,38,8-11,3-5,3-4,0,5,5,4,0,0,3,0,22
3913169,23,4-7,2-3,6-6,0,7,7,1,1,0,2,5,16
4396583,27,2-5,0-1,1-2,0,2,2,2,0,2,3,4,5
4396584,26,1-1,1-1,1-4,1,2,3,0,1,0,2,4,4
4278243,12,2-4,0-0,0-0,1,2,3,0,0,0,1,4,4
4066768,25,4-10,2-6,1-1,0,3,3,0,1,0,7,3,11
4278241,10,2-4,1-3,0-0,1,0,1,1,0,0,0,1,5
4278242,11,0-0,0-0,0-0,0,0,0,2,1,0,0,0,0
3156043,20,2-3,0-0,6-7,2,0,2,0,1,1,1,4,10
3947058,24,3-7,0-0,1-3,0,2,2,1,0,0,2,4,7
3948866,33,6-12,4-7,2-4,1,3,4,1,0,0,0,4,18
4398208,18,2-4,0-2,2-4,0,1,1,0,4,0,3,2,6
3938909,28,0-7,0-4,5-8,1,3,4,7,2,0,4,4,5
4398209,5,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
3155936,24,3-5,1-2,3-4,0,3,3,1,0,0,1,1,10
4279808,31,5-7,2-3,2-3,0,0,0,4,0,0,0,0,14
4279809,9,1-2,1-2,0-0,0,0,0,1,0,0,0,2,3
4398205,3,0-1,0-1,0-0,0,0,0,0,1,0,0,1,0
4398206,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
4398210,4,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0
