NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
3945564,36,5-11,1-2,3-5,5,4,9,1,2,1,2,3,14
3945566,38,6-12,4-6,3-4,1,3,4,1,2,0,6,1,19
3147501,38,0-6,0-3,0-0,1,2,3,0,3,1,2,2,0
4278038,11,0-0,0-0,0-0,0,1,1,3,1,0,0,1,0
4278039,40,5-11,1-3,2-4,0,4,4,3,3,0,2,2,13
4278040,5,0-1,0-0,0-0,1,0,1,0,0,0,0,2,0
67275,32,6-9,4-5,0-0,0,4,4,1,0,1,2,3,16
4066405,38,6-16,0-3,2-2,5,3,8,3,0,1,2,1,14
4277980,20,1-1,0-0,0-1,2,3,5,2,3,1,0,2,2
4397239,18,0-5,0-5,0-1,1,3,4,2,0,1,1,1,0
4277978,25,3-6,1-4,0-0,1,3,4,2,0,0,0,5,7
3912278,26,2-5,0-2,2-3,3,0,3,3,2,0,6,4,6
3912279,21,1-2,0-0,0-0,1,6,7,1,3,2,2,2,2
4277981,2,1-1,1-1,0-0,0,0,0,0,0,0,0,0,3
4397238,22,7-11,4-8,0-0,0,1,1,0,0,0,1,0,18
4397242,28,4-10,3-6,0-0,0,3,3,1,0,0,4,1,11
