NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4066836,31,10-18,1-3,1-1,1,9,10,3,0,3,5,3,22
4278380,37,7-11,0-0,4-5,0,4,4,4,1,1,1,3,18
3908871,31,5-10,4-9,0-0,0,2,2,2,1,0,1,2,14
4397191,39,7-15,6-11,0-0,0,4,4,1,1,0,0,3,20
4397193,39,3-5,1-3,1-3,1,4,5,10,1,0,3,4,8
4397192,6,0-0,0-0,0-0,1,0,1,1,0,1,0,1,0
4072624,14,0-1,0-0,0-0,0,2,2,0,0,1,0,1,0
4397190,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
3149034,26,4-10,0-0,0-0,1,2,3,2,0,0,0,4,8
3934669,36,11-15,0-1,7-7,3,6,9,1,2,0,1,1,29
4278566,19,1-2,1-2,0-0,0,1,1,1,0,1,0,1,3
4397071,32,4-12,2-5,6-8,1,2,3,1,0,0,0,2,16
4397072,29,4-10,3-5,2-5,0,0,0,6,0,0,3,2,13
4397074,16,3-5,0-0,1-1,2,3,5,0,3,0,3,1,7
3129965,20,4-6,2-4,0-0,0,7,7,5,0,0,1,1,10
4065792,19,1-4,0-1,2-4,1,1,2,8,0,0,0,1,4
3934671,3,0-0,0-0,0-0,0,1,1,0,0,1,0,1,0
