NAME,MIN,FG,PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
3138200,34,6-7,0-0,0-1,3,4,7,1,1,1,0,3,12
4065730,38,6-14,5-9,1-1,0,3,3,3,1,0,0,1,18
4065732,35,6-13,1-3,2-2,3,2,5,4,0,1,0,3,15
4065733,31,6-14,3-7,2-3,2,1,3,1,1,0,1,2,17
4395677,35,1-4,0-2,2-4,1,1,2,4,2,0,0,3,4
3947156,10,0-2,0-0,0-0,0,1,1,1,0,0,1,4,0
4066240,11,3-4,1-1,3-4,0,1,1,0,2,0,0,3,10
4278034,6,0-1,0-0,0-0,0,1,1,1,0,0,0,0,0
4277952,32,6-8,0-0,2-2,4,7,11,2,0,2,3,1,14
4397189,27,3-6,0-2,0-1,1,4,5,3,0,0,0,1,6
4397184,35,4-7,3-4,2-3,0,4,4,2,0,0,3,1,13
4277954,34,3-7,0-2,2-4,0,4,4,1,0,0,2,3,8
4066371,36,5-12,1-4,4-6,1,0,1,4,0,0,4,5,15
3165262,2,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0
4397186,2,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0
4397185,8,1-1,0-0,0-0,0,0,0,0,0,0,1,1,2
4397183,24,5-8,3-5,0-0,2,2,4,0,0,0,0,4,13
