TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:47,Mississippi Valley State,Emmanuel Ejeh,Turnover,0,0
19:47,California Baptist,De'jon Davis,Steal,0,0
19:22,Mississippi Valley State,Emmanuel Ejeh,Foul,0,0
19:17,California Baptist,Jordan Heading,Missed Three Point Jumper,0,0
19:10,California Baptist,Milan Acquaah,Offensive Rebound,0,0
19:06,California Baptist,Bul Kuol,Three Point Jumper,0,3
18:51,California Baptist,De'jon Davis,Foul,0,3
18:38,California Baptist,Milan Acquaah,Defensive Rebound,0,3
18:27,Mississippi Valley State,Aleksa Koracin,Defensive Rebound,0,3
18:17,Mississippi Valley State,Dante Scott,Three Point Jumper,3,3
18:05,California Baptist,De'jon Davis,Layup,3,5
17:49,Mississippi Valley State,Jordan Evans,Missed Jumper,3,5
17:45,California Baptist,De'jon Davis,Defensive Rebound,3,5
17:41,California Baptist,Milan Acquaah,Three Point Jumper,3,8
17:21,Mississippi Valley State,Dante Scott,Three Point Jumper,6,8
17:06,California Baptist,Bul Kuol,Three Point Jumper,6,11
16:26,California Baptist,Jordan Heading,Missed Layup,8,11
16:20,Mississippi Valley State,Aleksa Koracin,Defensive Rebound,8,11
16:12,Mississippi Valley State,Aleksa Koracin,Missed Layup,8,11
16:08,California Baptist,Bul Kuol,Defensive Rebound,8,11
15:56,California Baptist,Milan Acquaah,Three Point Jumper,8,14
15:54,California Baptist,None,None,8,14
15:34,Mississippi Valley State,Dante Scott,Turnover,8,14
15:34,California Baptist,Mikey Henn,Steal,8,14
15:23,California Baptist,Milan Acquaah,Three Point Jumper,8,17
15:00,Mississippi Valley State,Emmanuel Ejeh,Jumper,10,17
14:44,California Baptist,Milan Acquaah,Missed Jumper,10,17
14:44,Mississippi Valley State,Jordan Evans,Block,10,17
14:38,California Baptist,Milan Acquaah,Offensive Rebound,10,17
14:35,California Baptist,Jordan Heading,Missed Three Point Jumper,10,17
14:31,Mississippi Valley State,Marcus Mitchell,Defensive Rebound,10,17
14:28,California Baptist,Mikey Henn,Foul,10,17
14:24,Mississippi Valley State,Dante Scott,Three Point Jumper,13,17
14:09,California Baptist,Mikey Henn,Jumper,13,19
13:44,Mississippi Valley State,Dante Scott,Jumper,15,19
13:27,Mississippi Valley State,Emmanuel Ejeh,Foul,15,19
13:18,California Baptist,Milan Acquaah,Three Point Jumper,15,22
13:03,Mississippi Valley State,Tereke Eckwood,Missed Layup,15,22
12:59,California Baptist,De'jon Davis,Defensive Rebound,15,22
12:57,California Baptist,De'jon Davis,Turnover,15,22
12:57,Mississippi Valley State,Kaleb Allison,Steal,15,22
12:48,Mississippi Valley State,Jordan Evans,Missed Jumper,15,22
12:48,Mississippi Valley State,Mississippi Valley State,Offensive Rebound,15,22
12:48,California Baptist,De'jon Davis,Foul,15,22
12:42,Mississippi Valley State,Tereke Eckwood,Foul,15,22
