TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:30,Nevada,Jordan Caroline,Missed Three Point Jumper,0,0
19:26,USC,Shaqquan Aaron,Defensive Rebound,0,0
19:15,USC,Shaqquan Aaron,Jumper,0,2
18:59,Nevada,Caleb Martin,Three Point Jumper,3,2
18:23,USC,USC ,Turnover,3,2
18:03,Nevada,Jordan Caroline,Layup,5,2
17:44,USC,Nick Rakocevic,Layup,5,4
17:22,USC,Nick Rakocevic,Defensive Rebound,5,4
17:20,USC,Shaqquan Aaron,Three Point Jumper,5,7
16:51,USC,Derryck Thornton,Layup,7,9
16:34,Nevada,Jordan Caroline,Layup,9,9
16:12,USC,Jonah Mathews,Missed Three Point Jumper,9,9
16:07,Nevada,Trey Porter,Defensive Rebound,9,9
16:05,Nevada,Cody Martin,Missed Jumper,9,9
16:00,Nevada,Tre'Shawn Thurman,Offensive Rebound,9,9
15:59,Nevada,Caleb Martin,Missed Layup,9,9
15:53,USC,Nick Rakocevic,Defensive Rebound,9,9
15:49,USC,Shaqquan Aaron,Missed Layup,9,9
15:45,USC,Nick Rakocevic,Offensive Rebound,9,9
15:44,USC,Nick Rakocevic,Missed Layup,9,9
15:42,Nevada,Tre'Shawn Thurman,Defensive Rebound,9,9
15:42,Nevada,Jordan Caroline,Turnover,9,9
15:42,USC,Jonah Mathews,Steal,9,9
15:42,USC,None,None,9,9
15:31,USC,Jonah Mathews,Foul,9,9
15:31,USC,Jonah Mathews,Turnover,9,9
15:12,Nevada,Tre'Shawn Thurman,Missed Three Point Jumper,9,9
15:08,USC,Nick Rakocevic,Defensive Rebound,9,9
14:54,USC,Jonah Mathews,Jumper,9,11
14:41,Nevada,Caleb Martin,Missed Three Point Jumper,9,11
14:38,USC,Jonah Mathews,Defensive Rebound,9,11
14:37,USC,Derryck Thornton,Dunk,9,13
14:15,Nevada,Cody Martin,Missed Three Point Jumper,9,13
14:12,USC,Shaqquan Aaron,Defensive Rebound,9,13
14:01,USC,Shaqquan Aaron,Jumper,9,15
13:37,Nevada,Jordan Caroline,Missed Jumper,9,15
13:30,Nevada,Jordan Caroline,Offensive Rebound,9,15
13:30,Nevada,Jordan Caroline,Missed Layup,9,15
13:29,USC,Nick Rakocevic,Defensive Rebound,9,15
13:26,USC,Nick Rakocevic,Missed Layup,9,15
13:21,Nevada,Tre'Shawn Thurman,Defensive Rebound,9,15
13:17,Nevada,Jordan Caroline,Missed Layup,9,15
13:09,Nevada,Caleb Martin,Offensive Rebound,9,15
13:09,Nevada,Caleb Martin,Layup,11,15
12:54,USC,Jonah Mathews,Missed Three Point Jumper,11,15
12:50,Nevada,Trey Porter,Defensive Rebound,11,15
12:33,Nevada,Cody Martin,Jumper,13,15
12:16,USC,Nick Rakocevic,Jumper,13,17
12:00,USC,None,None,13,17
11:51,Nevada,Caleb Martin,Missed Three Point Jumper,13,17
11:47,USC,Nick Rakocevic,Defensive Rebound,13,17
11:34,USC,Bennie Boatwright,Missed Jumper,13,17
11:30,Nevada,Jordan Caroline,Defensive Rebound,13,17
11:24,Nevada,Jazz Johnson,Missed Three Point Jumper,13,17
11:18,Nevada,Jordan Caroline,Offensive Rebound,13,17
11:18,USC,Shaqquan Aaron,Foul,13,17
11:18,Nevada,Jordan Caroline,Missed Free Throw,13,17
11:18,Nevada,None,Team Rebound,13,17
11:16,Nevada,Jordan Caroline,Missed Free Throw,13,17
11:14,USC,Shaqquan Aaron,Defensive Rebound,13,17
11:02,USC,Jordan Usher,Missed Jumper,13,17
10:59,Nevada,Tre'Shawn Thurman,Defensive Rebound,13,17
10:39,Nevada,Corey Henson,Turnover,13,17
10:24,USC,Jordan Usher,Three Point Jumper,13,20
10:05,Nevada,Jordan Caroline,Layup,15,20
9:58,USC,Jonah Mathews,Missed Three Point Jumper,15,20
9:53,Nevada,Caleb Martin,Defensive Rebound,15,20
9:49,Nevada,Caleb Martin,Layup,17,20
9:48,USC,None,None,17,20
9:34,USC,Nick Rakocevic,Layup,17,22
9:25,Nevada,Jazz Johnson,Three Point Jumper,20,22
8:55,USC,Jordan Usher,Missed Three Point Jumper,20,22
8:51,Nevada,Cody Martin,Defensive Rebound,20,22
8:30,Nevada,Corey Henson,Missed Three Point Jumper,20,22
8:24,USC,Nick Rakocevic,Defensive Rebound,20,22
8:20,USC,Jordan Usher,Foul,20,22
8:20,USC,Jordan Usher,Turnover,20,22
8:02,Nevada,Jordan Caroline,Missed Jumper,20,22
7:58,USC,Jordan Usher,Defensive Rebound,20,22
7:52,Nevada,Jordan Caroline,Foul,20,22
7:52,USC,None,None,20,22
7:39,USC,Bennie Boatwright,Missed Three Point Jumper,20,22
7:38,Nevada,None,Team Rebound,20,22
7:26,Nevada,Tre'Shawn Thurman,Jumper,22,22
7:16,USC,Shaqquan Aaron,Missed Three Point Jumper,22,22
7:12,Nevada,Caleb Martin,Defensive Rebound,22,22
6:43,Nevada,Caleb Martin,Turnover,22,22
6:43,USC,Derryck Thornton,Steal,22,22
6:40,USC,Shaqquan Aaron,Missed Layup,22,22
6:35,Nevada,Tre'Shawn Thurman,Defensive Rebound,22,22
6:12,Nevada,Tre'Shawn Thurman,Jumper,24,22
5:49,USC,Nick Rakocevic,Dunk,24,24
5:26,Nevada,Tre'Shawn Thurman,Turnover,24,24
5:26,USC,Jonah Mathews,Steal,24,24
5:22,USC,Derryck Thornton,Layup,24,26
5:05,USC,Shaqquan Aaron,Foul,24,26
4:59,Nevada,Cody Martin,Turnover,24,26
4:46,Nevada,Cody Martin,Foul,24,26
4:42,USC,Bennie Boatwright,Jumper,24,28
4:23,Nevada,Jordan Caroline,Missed Layup,24,28
4:17,Nevada,Jordan Caroline,Offensive Rebound,24,28
4:15,Nevada,Jordan Caroline,Turnover,24,28
4:15,USC,Jonah Mathews,Steal,24,28
4:10,Nevada,Jazz Johnson,Foul,24,28
4:04,USC,Nick Rakocevic,Layup,24,30
4:04,Nevada,Caleb Martin,Foul,24,30
4:04,USC,Nick Rakocevic,Missed Free Throw,24,30
4:04,Nevada,Tre'Shawn Thurman,Defensive Rebound,24,30
3:45,Nevada,Jazz Johnson,Missed Three Point Jumper,24,30
3:38,Nevada,Tre'Shawn Thurman,Offensive Rebound,24,30
3:38,Nevada,Tre'Shawn Thurman,Layup,26,30
3:13,USC,Bennie Boatwright,Missed Three Point Jumper,26,30
3:10,USC,USC,Offensive Rebound,26,30
3:10,USC,None,None,26,30
2:55,USC,Jonah Mathews,Three Point Jumper,26,33
2:37,Nevada,Jordan Caroline,Missed Jumper,26,33
2:37,USC,Nick Rakocevic,Block,26,33
2:32,USC,Derryck Thornton,Defensive Rebound,26,33
2:28,USC,Derryck Thornton,Missed Layup,26,33
2:28,Nevada,Tre'Shawn Thurman,Block,26,33
2:27,USC,USC,Offensive Rebound,26,33
2:20,USC,Jonah Mathews,Missed Three Point Jumper,26,33
2:17,Nevada,Jordan Caroline,Defensive Rebound,26,33
2:06,Nevada,Jordan Caroline,Three Point Jumper,29,33
1:25,Nevada,Jordan Caroline,Missed Jumper,29,35
1:22,USC,Derryck Thornton,Defensive Rebound,29,35
1:22,USC,Derryck Thornton,Turnover,29,35
1:07,Nevada,Tre'Shawn Thurman,Three Point Jumper,32,35
0:40,USC,Bennie Boatwright,Turnover,32,35
0:34,Nevada,Tre'Shawn Thurman,Jumper,34,35
0:04,USC,Derryck Thornton,Missed Layup,34,35
0:03,Nevada,Jordan Caroline,Defensive Rebound,34,35
0:01,Nevada,Jordan Caroline,Turnover,34,35
0:01,USC,Jordan Usher,Steal,34,35
0:00,USC,None,None,34,35
19:48,Nevada,Caleb Martin,Missed Layup,34,35
19:48,USC,Nick Rakocevic,Block,34,35
19:43,USC,Shaqquan Aaron,Defensive Rebound,34,35
19:28,USC,Bennie Boatwright,Missed Jumper,34,35
19:25,Nevada,Caleb Martin,Defensive Rebound,34,35
19:21,Nevada,Trey Porter,Jumper,36,35
19:00,USC,Bennie Boatwright,Missed Layup,36,35
18:55,Nevada,Jordan Caroline,Defensive Rebound,36,35
18:46,Nevada,Jordan Caroline,Jumper,38,35
18:18,USC,Derryck Thornton,Missed Layup,38,35
18:14,Nevada,Trey Porter,Defensive Rebound,38,35
18:11,Nevada,Caleb Martin,Three Point Jumper,41,35
18:08,USC,None,None,41,35
18:08,USC,None,None,41,35
17:51,Nevada,Tre'Shawn Thurman,Foul,41,35
17:51,USC,Shaqquan Aaron,Missed Free Throw,41,35
17:51,USC,None,Team Rebound,41,35
17:50,USC,Shaqquan Aaron,Missed Free Throw,41,35
17:48,Nevada,Tre'Shawn Thurman,Defensive Rebound,41,35
17:33,Nevada,Trey Porter,Dunk,43,35
17:18,USC,Bennie Boatwright,Missed Three Point Jumper,43,35
17:15,Nevada,Jordan Caroline,Defensive Rebound,43,35
17:08,Nevada,Caleb Martin,Turnover,43,35
17:08,USC,Jonah Mathews,Steal,43,35
17:05,Nevada,Tre'Shawn Thurman,Foul,43,35
16:54,Nevada,Trey Porter,Foul,43,35
16:49,Nevada,Trey Porter,Foul,43,35
16:39,USC,Jordan Usher,Layup,43,37
16:23,USC,Jordan Usher,Foul,43,37
16:23,Nevada,Jordan Caroline,Free Throw,44,37
16:23,Nevada,Jordan Caroline,Free Throw,45,37
16:03,USC,Derryck Thornton,Missed Jumper,45,37
15:59,Nevada,Cody Martin,Defensive Rebound,45,37
15:50,Nevada,Jordan Caroline,Layup,47,37
15:38,USC,Jonah Mathews,Jumper,47,39
15:27,USC,None,None,47,39
15:13,Nevada,Tre'Shawn Thurman,Missed Three Point Jumper,47,39
15:13,USC,Elijah Weaver,Defensive Rebound,47,39
15:12,USC,Nick Rakocevic,Foul,47,39
15:12,Nevada,Trey Porter,Free Throw,48,39
15:12,Nevada,Trey Porter,Free Throw,49,39
14:56,USC,Bennie Boatwright,Foul,49,39
14:56,Nevada,Jordan Caroline,Free Throw,50,39
14:56,Nevada,Jordan Caroline,Missed Free Throw,50,39
14:56,USC,Elijah Weaver,Defensive Rebound,50,39
14:42,USC,Bennie Boatwright,Dunk,50,41
14:24,Nevada,Jazz Johnson,Three Point Jumper,53,41
13:57,USC,Bennie Boatwright,Missed Three Point Jumper,53,41
13:52,Nevada,Trey Porter,Defensive Rebound,53,41
13:44,Nevada,Tre'Shawn Thurman,Three Point Jumper,56,41
13:43,USC,None,None,56,41
13:25,USC,Jordan Usher,Three Point Jumper,56,44
13:11,Nevada,Jordan Caroline,Turnover,56,44
13:11,USC,Bennie Boatwright,Steal,56,44
12:59,USC,Jordan Usher,Missed Jumper,56,44
12:55,Nevada,Tre'Shawn Thurman,Defensive Rebound,56,44
12:46,USC,Jordan Usher,Foul,56,44
12:28,Nevada,Jazz Johnson,Three Point Jumper,59,44
12:19,Nevada,Jazz Johnson,Foul,59,44
11:57,USC,Shaqquan Aaron,Missed Jumper,59,44
11:53,Nevada,Cody Martin,Defensive Rebound,59,44
11:26,Nevada,Cody Martin,Jumper,61,44
11:17,USC,Jonah Mathews,Missed Layup,61,44
11:11,Nevada,Caleb Martin,Defensive Rebound,61,44
11:11,Nevada,Caleb Martin,Foul,61,44
11:11,Nevada,Caleb Martin,Turnover,61,44
11:11,USC,None,None,61,44
10:51,USC,Bennie Boatwright,Missed Three Point Jumper,61,44
10:47,Nevada,Cody Martin,Defensive Rebound,61,44
10:32,Nevada,Jazz Johnson,Missed Three Point Jumper,61,44
10:29,USC,Nick Rakocevic,Defensive Rebound,61,44
10:22,Nevada,Jazz Johnson,Foul,61,44
10:22,USC,Nick Rakocevic,Free Throw,61,45
10:22,USC,Nick Rakocevic,Free Throw,61,46
9:57,Nevada,Cody Martin,Missed Jumper,61,46
9:53,USC,Bennie Boatwright,Defensive Rebound,61,46
9:37,USC,Nick Rakocevic,Foul,61,46
9:37,USC,Nick Rakocevic,Turnover,61,46
9:21,USC,Nick Rakocevic,Foul,61,46
9:10,Nevada,Tre'Shawn Thurman,Missed Jumper,61,46
9:07,USC,Derryck Thornton,Defensive Rebound,61,46
8:54,USC,Jonah Mathews,Missed Jumper,61,46
8:52,Nevada,Nevada,Defensive Rebound,61,46
8:22,Nevada,Caleb Martin,Layup,63,46
8:13,USC,Derryck Thornton,Turnover,63,46
8:13,Nevada,Cody Martin,Steal,63,46
8:08,Nevada,Jordan Caroline,Dunk,65,46
7:48,USC,Derryck Thornton,Jumper,65,48
7:24,Nevada,Cody Martin,Missed Jumper,65,48
7:20,USC,Nick Rakocevic,Defensive Rebound,65,48
7:16,USC,Jordan Usher,Missed Three Point Jumper,65,48
7:09,Nevada,Jordan Caroline,Defensive Rebound,65,48
7:08,USC,Jordan Usher,Foul,65,48
7:08,USC,None,None,65,48
7:08,Nevada,Jordan Caroline,Missed Free Throw,65,48
7:06,USC,Nick Rakocevic,Defensive Rebound,65,48
6:48,USC,Nick Rakocevic,Missed Jumper,65,48
6:46,Nevada,Caleb Martin,Defensive Rebound,65,48
6:21,Nevada,Jordan Caroline,Missed Three Point Jumper,65,48
6:18,USC,USC,Defensive Rebound,65,48
5:51,USC,Bennie Boatwright,Missed Layup,65,48
5:46,USC,Bennie Boatwright,Offensive Rebound,65,48
5:46,USC,Nick Rakocevic,Layup,65,50
5:42,Nevada,Jordan Caroline,Missed Jumper,65,50
5:39,USC,Shaqquan Aaron,Defensive Rebound,65,50
5:38,USC,Bennie Boatwright,Three Point Jumper,65,53
5:11,Nevada,Cody Martin,Jumper,67,53
4:53,USC,Nick Rakocevic,Dunk,67,55
4:37,USC,Shaqquan Aaron,Foul,67,55
4:37,Nevada,Cody Martin,Free Throw,68,55
4:37,Nevada,Cody Martin,Free Throw,69,55
4:29,USC,Elijah Weaver,Turnover,69,55
3:43,Nevada,Cody Martin,Missed Layup,69,55
3:42,USC,Bennie Boatwright,Defensive Rebound,69,55
3:40,USC,None,None,69,55
3:40,Nevada,Tre'Shawn Thurman,Foul,69,55
3:40,USC,None,None,69,55
3:40,USC,Bennie Boatwright,Missed Free Throw,69,55
3:36,Nevada,Jordan Caroline,Defensive Rebound,69,55
3:12,Nevada,Cody Martin,Missed Three Point Jumper,69,55
3:09,USC,Derryck Thornton,Defensive Rebound,69,55
3:06,USC,Jonah Mathews,Missed Three Point Jumper,69,55
3:03,Nevada,Nevada,Defensive Rebound,69,55
2:55,Nevada,Tre'Shawn Thurman,Missed Dunk,69,55
2:55,USC,Jonah Mathews,Block,69,55
2:50,USC,Nick Rakocevic,Defensive Rebound,69,55
2:42,USC,Bennie Boatwright,Missed Three Point Jumper,69,55
2:39,Nevada,Nevada,Defensive Rebound,69,55
2:14,Nevada,Jordan Caroline,Missed Layup,69,55
2:11,USC,Shaqquan Aaron,Defensive Rebound,69,55
2:07,USC,Shaqquan Aaron,Jumper,69,57
1:34,Nevada,Jordan Caroline,Missed Layup,69,57
1:31,USC,Shaqquan Aaron,Defensive Rebound,69,57
1:28,USC,Shaqquan Aaron,Foul,69,57
1:28,USC,Shaqquan Aaron,Turnover,69,57
0:58,Nevada,Cody Martin,Missed Layup,69,57
0:58,USC,Nick Rakocevic,Block,69,57
0:53,USC,Nick Rakocevic,Defensive Rebound,69,57
0:49,USC,Nick Rakocevic,Missed Three Point Jumper,69,57
0:46,Nevada,Jordan Caroline,Defensive Rebound,69,57
0:34,USC,Jordan Usher,Foul,69,57
0:34,Nevada,Jordan Caroline,Free Throw,70,57
0:34,Nevada,Jordan Caroline,Free Throw,71,57
0:21,USC,Jonah Mathews,Missed Three Point Jumper,71,57
0:19,USC,None,Team Rebound,71,57
0:19,Nevada,Caleb Martin,Foul,71,57
0:19,USC,Nick Rakocevic,Free Throw,71,58
0:19,USC,Nick Rakocevic,Free Throw,71,59
0:14,Nevada,Caleb Martin,Turnover,71,59
0:14,USC,Derryck Thornton,Steal,71,59
0:13,USC,Derryck Thornton,Layup,71,61
0:04,Nevada,Jordan Caroline,Jumper,73,61
0:00,USC,None,None,73,61
0:00,USC,None,None,73,61
