TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:39,CSU Northridge,Lamine Diane,Missed Jumper,0,0
19:39,Sacramento State,Joshua Patton,Defensive Rebound,0,0
19:16,Sacramento State,Calvin Martin,Missed Jumper,0,0
19:16,CSU Northridge,Cameron Gottfried,Defensive Rebound,0,0
19:09,CSU Northridge,Lamine Diane,Dunk,0,2
18:51,Sacramento State,Izayah Mauriohooho-Le'afa,Jumper,2,2
18:17,CSU Northridge,Lamine Diane,Foul,2,2
18:17,CSU Northridge,Lamine Diane,Turnover,2,2
18:06,Sacramento State,Marcus Graves,Missed Layup,2,2
18:06,Sacramento State,Marcus Graves,Offensive Rebound,2,2
18:03,Sacramento State,Marcus Graves,Layup,4,2
17:45,CSU Northridge,Mahamadou Kaba-Camara,Turnover,4,2
17:43,Sacramento State,Izayah Mauriohooho-Le'afa,Steal,4,2
17:19,Sacramento State,Izayah Mauriohooho-Le'afa,Turnover,4,2
17:18,CSU Northridge,Lamine Diane,Steal,4,2
16:57,CSU Northridge,Lamine Diane,Jumper,4,4
16:57,Sacramento State,Calvin Martin,Foul,4,4
16:57,CSU Northridge,Lamine Diane,Free Throw,4,5
16:45,Sacramento State,Joshua Patton,Missed Jumper,4,5
16:45,CSU Northridge,Lamine Diane,Defensive Rebound,4,5
16:32,CSU Northridge,Lamine Diane,Missed Jumper,4,5
16:32,CSU Northridge,Lamine Diane,Offensive Rebound,4,5
16:26,CSU Northridge,Lamine Diane,Layup,4,7
16:26,Sacramento State,Calvin Martin,Foul,4,7
16:26,CSU Northridge,Lamine Diane,Missed Free Throw,4,7
16:26,Sacramento State,Joshua Patton,Defensive Rebound,4,7
16:13,Sacramento State,Marcus Graves,Jumper,6,7
16:06,CSU Northridge,Terrell Gomez,Three Point Jumper,6,10
15:52,Sacramento State,Marcus Graves,Missed Three Point Jumper,6,10
15:52,CSU Northridge,Mahamadou Kaba-Camara,Defensive Rebound,6,10
15:22,CSU Northridge,Terrell Gomez,Three Point Jumper,6,13
15:03,Sacramento State,Osi Nwachukwu,Missed Layup,6,13
15:03,CSU Northridge,Lamine Diane,Block,6,13
15:02,CSU Northridge,Darius Brown II,Defensive Rebound,6,13
14:57,CSU Northridge,Lamine Diane,Dunk,6,15
14:57,Sacramento State,Chibueze Jacobs,Foul,6,15
14:57,CSU Northridge,None,None,6,15
14:57,CSU Northridge,Lamine Diane,Missed Free Throw,6,15
14:57,Sacramento State,Chibueze Jacobs,Defensive Rebound,6,15
14:45,Sacramento State,Bryce Fowler,Missed Jumper,6,15
14:45,Sacramento State,Sacramento State,Offensive Rebound,6,15
14:32,Sacramento State,Joshua Patton,Missed Jumper,6,15
14:32,Sacramento State,Joshua Patton,Offensive Rebound,6,15
14:23,Sacramento State,Bryce Fowler,Three Point Jumper,9,15
13:57,CSU Northridge,Terrell Gomez,Missed Three Point Jumper,9,15
13:57,Sacramento State,Marcus Graves,Defensive Rebound,9,15
13:33,CSU Northridge,Darius Brown II,Foul,9,15
13:33,Sacramento State,Izayah Mauriohooho-Le'afa,Free Throw,10,15
13:33,Sacramento State,Izayah Mauriohooho-Le'afa,Free Throw,11,15
13:22,CSU Northridge,Elijah Harkless,Missed Jumper,11,15
13:22,CSU Northridge,Rodney Henderson Jr.,Offensive Rebound,11,15
13:17,CSU Northridge,Rodney Henderson Jr.,Missed Layup,11,15
13:17,Sacramento State,Marcus Graves,Defensive Rebound,11,15
13:04,Sacramento State,Bryce Fowler,Three Point Jumper,14,15
12:30,CSU Northridge,Rodney Henderson Jr.,Missed Layup,14,15
12:30,Sacramento State,Sacramento State,Defensive Rebound,14,15
12:30,CSU Northridge,CSU Northridge ,Turnover,14,15
12:17,CSU Northridge,Elijah Harkless,Foul,14,15
12:17,Sacramento State,Ethan Esposito,Missed Free Throw,14,15
12:17,Sacramento State,None,Team Rebound,14,15
12:17,Sacramento State,Ethan Esposito,Free Throw,15,15
12:01,CSU Northridge,Mahamadou Kaba-Camara,Missed Layup,15,15
12:01,Sacramento State,Marcus Graves,Defensive Rebound,15,15
11:49,Sacramento State,Ethan Esposito,Missed Jumper,15,15
11:49,CSU Northridge,Elijah Harkless,Defensive Rebound,15,15
11:27,CSU Northridge,Darius Brown II,Three Point Jumper,15,18
11:12,Sacramento State,Bryce Fowler,Three Point Jumper,18,18
10:41,CSU Northridge,Elijah Harkless,Jumper,18,20
10:19,Sacramento State,Jordan Tolbert,Layup,20,20
9:59,CSU Northridge,Rodney Henderson Jr.,Turnover,20,20
9:57,Sacramento State,Ethan Esposito,Steal,20,20
9:53,Sacramento State,Bryce Fowler,Missed Three Point Jumper,20,20
9:53,CSU Northridge,Elijah Harkless,Defensive Rebound,20,20
9:46,CSU Northridge,Darius Brown II,Missed Layup,20,20
9:46,Sacramento State,Bryce Fowler,Defensive Rebound,20,20
9:39,Sacramento State,Jordan Tolbert,Turnover,20,20
9:38,CSU Northridge,Elijah Harkless,Steal,20,20
9:36,CSU Northridge,Elijah Harkless,Turnover,20,20
9:35,Sacramento State,Marcus Graves,Steal,20,20
9:16,Sacramento State,Jordan Tolbert,Turnover,20,20
9:15,CSU Northridge,Elijah Harkless,Steal,20,20
9:12,CSU Northridge,Elijah Harkless,Layup,20,22
9:08,Sacramento State,None,None,20,22
8:58,Sacramento State,James Bridges,Turnover,20,22
8:57,CSU Northridge,Lamine Diane,Steal,20,22
8:52,Sacramento State,Ethan Esposito,Foul,20,22
8:52,CSU Northridge,Lamine Diane,Missed Free Throw,20,22
8:52,CSU Northridge,None,Team Rebound,20,22
8:52,CSU Northridge,Lamine Diane,Free Throw,20,23
8:39,Sacramento State,Ethan Esposito,Layup,22,23
8:30,CSU Northridge,Lamine Diane,Turnover,22,23
8:23,CSU Northridge,Michael Ou,Foul,22,23
8:23,Sacramento State,Osi Nwachukwu,Free Throw,23,23
8:23,Sacramento State,Osi Nwachukwu,Free Throw,24,23
8:00,CSU Northridge,Terrell Gomez,Layup,24,25
7:50,Sacramento State,Ethan Esposito,Jumper,26,25
7:34,CSU Northridge,Lamine Diane,Missed Jumper,26,25
7:34,Sacramento State,Joshua Patton,Defensive Rebound,26,25
7:21,Sacramento State,Joshua Patton,Layup,28,25
7:08,CSU Northridge,Terrell Gomez,Missed Three Point Jumper,28,25
7:08,Sacramento State,Joshua Patton,Defensive Rebound,28,25
6:50,Sacramento State,Izayah Mauriohooho-Le'afa,Missed Jumper,28,25
6:50,CSU Northridge,Elijah Harkless,Block,28,25
6:49,CSU Northridge,Elijah Harkless,Defensive Rebound,28,25
6:43,CSU Northridge,Lamine Diane,Foul,28,25
6:43,CSU Northridge,Lamine Diane,Turnover,28,25
6:43,Sacramento State,None,None,28,25
6:34,Sacramento State,Joshua Patton,Turnover,28,25
6:19,CSU Northridge,Lamine Diane,Missed Jumper,28,25
6:19,CSU Northridge,Michael Ou,Offensive Rebound,28,25
6:16,Sacramento State,Calvin Martin,Foul,28,25
5:52,CSU Northridge,Michael Ou,Missed Layup,28,25
5:52,CSU Northridge,Michael Ou,Offensive Rebound,28,25
5:49,CSU Northridge,Michael Ou,Missed Layup,28,25
5:49,Sacramento State,Marcus Graves,Defensive Rebound,28,25
5:40,CSU Northridge,Michael Ou,Foul,28,25
5:33,Sacramento State,Bryce Fowler,Missed Three Point Jumper,28,25
5:33,Sacramento State,Osi Nwachukwu,Offensive Rebound,28,25
5:29,Sacramento State,Osi Nwachukwu,Layup,30,25
5:12,CSU Northridge,Elijah Harkless,Missed Jumper,30,25
5:12,Sacramento State,Ethan Esposito,Defensive Rebound,30,25
5:05,Sacramento State,Osi Nwachukwu,Missed Three Point Jumper,30,25
5:05,CSU Northridge,Elijah Harkless,Defensive Rebound,30,25
4:56,CSU Northridge,Elijah Harkless,Layup,30,27
4:56,Sacramento State,Marcus Graves,Foul,30,27
4:56,CSU Northridge,Elijah Harkless,Missed Free Throw,30,27
4:56,Sacramento State,Joshua Patton,Defensive Rebound,30,27
4:43,Sacramento State,Joshua Patton,Foul,30,27
4:43,Sacramento State,Joshua Patton,Turnover,30,27
4:30,CSU Northridge,Elijah Harkless,Turnover,30,27
4:29,Sacramento State,Osi Nwachukwu,Steal,30,27
4:27,Sacramento State,Osi Nwachukwu,Layup,32,27
4:04,CSU Northridge,Mahamadou Kaba-Camara,Dunk,32,29
3:47,CSU Northridge,Elijah Harkless,Foul,32,29
3:47,Sacramento State,None,None,32,29
3:47,Sacramento State,Ethan Esposito,Free Throw,33,29
3:47,Sacramento State,Ethan Esposito,Free Throw,34,29
3:34,CSU Northridge,Terrell Gomez,Turnover,34,29
3:21,Sacramento State,Joshua Patton,Jumper,36,29
2:59,CSU Northridge,Lamine Diane,Missed Jumper,36,29
2:59,Sacramento State,Joshua Patton,Defensive Rebound,36,29
2:50,Sacramento State,Marcus Graves,Layup,38,29
2:50,CSU Northridge,Mahamadou Kaba-Camara,Foul,38,29
2:50,Sacramento State,Marcus Graves,Free Throw,39,29
2:37,CSU Northridge,Darius Brown II,Missed Three Point Jumper,39,29
2:37,Sacramento State,Bryce Fowler,Defensive Rebound,39,29
2:27,Sacramento State,Marcus Graves,Layup,41,29
2:25,CSU Northridge,None,None,41,29
1:58,CSU Northridge,Cameron Gottfried,Missed Three Point Jumper,41,29
1:58,Sacramento State,Sacramento State,Defensive Rebound,41,29
1:43,Sacramento State,Bryce Fowler,Layup,43,29
1:34,CSU Northridge,Cameron Gottfried,Missed Jumper,43,29
1:34,Sacramento State,Osi Nwachukwu,Block,43,29
1:32,CSU Northridge,Mahamadou Kaba-Camara,Offensive Rebound,43,29
1:14,CSU Northridge,Lamine Diane,Turnover,43,29
1:12,Sacramento State,Marcus Graves,Steal,43,29
1:10,CSU Northridge,Cameron Gottfried,Foul,43,29
1:10,Sacramento State,Marcus Graves,Free Throw,44,29
1:10,Sacramento State,Marcus Graves,Missed Free Throw,44,29
1:10,CSU Northridge,Elijah Harkless,Defensive Rebound,44,29
1:03,Sacramento State,Bryce Fowler,Foul,44,29
1:03,CSU Northridge,Elijah Harkless,Missed Free Throw,44,29
1:03,Sacramento State,Ethan Esposito,Defensive Rebound,44,29
0:48,Sacramento State,Bryce Fowler,Turnover,44,29
0:36,CSU Northridge,Terrell Gomez,Missed Layup,44,29
0:36,Sacramento State,Ethan Esposito,Defensive Rebound,44,29
0:16,Sacramento State,Ethan Esposito,Turnover,44,29
0:01,CSU Northridge,Mahamadou Kaba-Camara,Layup,44,31
0:00,CSU Northridge,None,None,44,31
19:40,Sacramento State,Joshua Patton,Jumper,46,31
19:19,CSU Northridge,Cameron Gottfried,Missed Three Point Jumper,46,31
19:19,Sacramento State,Joshua Patton,Defensive Rebound,46,31
19:01,Sacramento State,Calvin Martin,Missed Layup,46,31
19:01,CSU Northridge,Cameron Gottfried,Block,46,31
18:59,CSU Northridge,Lamine Diane,Defensive Rebound,46,31
18:48,CSU Northridge,Terrell Gomez,Missed Three Point Jumper,46,31
18:48,CSU Northridge,Cameron Gottfried,Offensive Rebound,46,31
18:21,CSU Northridge,Mahamadou Kaba-Camara,Missed Jumper,46,31
18:21,CSU Northridge,Darius Brown II,Offensive Rebound,46,31
18:18,CSU Northridge,Darius Brown II,Layup,46,33
18:05,CSU Northridge,Cameron Gottfried,Foul,46,33
18:05,Sacramento State,Calvin Martin,Free Throw,47,33
18:05,Sacramento State,Bryce Fowler,Free Throw,48,33
17:50,CSU Northridge,Darius Brown II,Jumper,48,35
17:24,Sacramento State,Ethan Esposito,Missed Jumper,48,35
17:24,Sacramento State,Izayah Mauriohooho-Le'afa,Offensive Rebound,48,35
